Name,Class,Probability
Negative_0,Non-Allergen,0.0
Negative_3,Non-Allergen,0.0
Negative_5,Non-Allergen,0.0
Negative_6,Allergen,0.994
Negative_7,Non-Allergen,0.0
Negative_8,Non-Allergen,0.0
Negative_13,Non-Allergen,0.0
Negative_14,Allergen,1.0
Negative_15,Allergen,0.914
Negative_16,Non-Allergen,0.0
Negative_17,Non-Allergen,0.0
Negative_18,Non-Allergen,0.0
Negative_20,Non-Allergen,0.0
Negative_21,Non-Allergen,0.0
Negative_22,Non-Allergen,0.0
Negative_23,Non-Allergen,0.0
Negative_24,Non-Allergen,0.0
Negative_27,Non-Allergen,0.0
Negative_29,Non-Allergen,0.0
Negative_30,Non-Allergen,0.0
Negative_31,Non-Allergen,0.0
Negative_32,Non-Allergen,0.0
Negative_38,Non-Allergen,0.0
Negative_39,Non-Allergen,0.0
Negative_40,Non-Allergen,0.0
Negative_41,Allergen,1.0
Negative_42,Non-Allergen,0.0
Negative_43,Allergen,0.996
Negative_47,Non-Allergen,0.001
Negative_50,Non-Allergen,0.0
Negative_51,Non-Allergen,0.0
Negative_52,Non-Allergen,0.0
Negative_54,Non-Allergen,0.0
Negative_56,Allergen,1.0
Negative_57,Non-Allergen,0.0
Negative_58,Allergen,1.0
Negative_60,Non-Allergen,0.0
Negative_61,Non-Allergen,0.0
Negative_62,Non-Allergen,0.0
Negative_63,Non-Allergen,0.0
Negative_64,Non-Allergen,0.0
Negative_65,Non-Allergen,0.0
Negative_66,Non-Allergen,0.0
Negative_67,Non-Allergen,0.0
Negative_68,Non-Allergen,0.0
Negative_69,Allergen,1.0
Negative_70,Non-Allergen,0.0
Negative_72,Non-Allergen,0.0
Negative_73,Non-Allergen,0.0
Negative_74,Non-Allergen,0.001
Negative_78,Non-Allergen,0.0
Negative_81,Non-Allergen,0.0
Negative_82,Non-Allergen,0.0
Negative_83,Non-Allergen,0.0
Negative_84,Non-Allergen,0.0
Negative_85,Non-Allergen,0.0
Negative_88,Non-Allergen,0.0
Negative_93,Allergen,0.997
Negative_94,Non-Allergen,0.0
Negative_102,Non-Allergen,0.0
Negative_103,Non-Allergen,0.0
Negative_104,Non-Allergen,0.0
Negative_105,Non-Allergen,0.0
Negative_113,Non-Allergen,0.0
Negative_114,Non-Allergen,0.0
Negative_115,Non-Allergen,0.0
Negative_116,Non-Allergen,0.0
Negative_119,Non-Allergen,0.0
Negative_120,Non-Allergen,0.0
Negative_122,Non-Allergen,0.0
Negative_123,Non-Allergen,0.0
Negative_124,Non-Allergen,0.0
Negative_126,Non-Allergen,0.0
Negative_128,Non-Allergen,0.0
Negative_131,Non-Allergen,0.0
Negative_140,Non-Allergen,0.004
Negative_142,Allergen,1.0
Negative_144,Non-Allergen,0.0
Negative_145,Non-Allergen,0.0
Negative_146,Non-Allergen,0.0
Negative_147,Non-Allergen,0.0
Negative_148,Non-Allergen,0.0
Negative_149,Non-Allergen,0.0
Negative_152,Non-Allergen,0.0
Negative_154,Non-Allergen,0.0
Negative_155,Allergen,0.662
Negative_156,Non-Allergen,0.0
Negative_157,Non-Allergen,0.058
Negative_158,Non-Allergen,0.0
Negative_159,Non-Allergen,0.0
Negative_161,Allergen,1.0
Negative_163,Non-Allergen,0.0
Negative_164,Non-Allergen,0.0
Negative_165,Non-Allergen,0.0
Negative_168,Non-Allergen,0.0
Negative_172,Non-Allergen,0.0
Negative_174,Non-Allergen,0.0
Negative_186,Non-Allergen,0.0
Positive_187,Allergen,0.999
Negative_189,Non-Allergen,0.0
Negative_192,Non-Allergen,0.0
Negative_200,Non-Allergen,0.0
Negative_201,Non-Allergen,0.0
Negative_202,Non-Allergen,0.0
Negative_205,Non-Allergen,0.001
Negative_206,Non-Allergen,0.0
Negative_208,Non-Allergen,0.0
Negative_211,Non-Allergen,0.0
Negative_212,Non-Allergen,0.0
Negative_213,Non-Allergen,0.0
Negative_214,Non-Allergen,0.0
Negative_216,Non-Allergen,0.0
Negative_217,Non-Allergen,0.0
Negative_218,Non-Allergen,0.0
Negative_219,Non-Allergen,0.0
Negative_226,Non-Allergen,0.0
Negative_227,Non-Allergen,0.0
Negative_228,Non-Allergen,0.0
Negative_229,Non-Allergen,0.002
Negative_230,Non-Allergen,0.0
Negative_232,Non-Allergen,0.0
Negative_234,Non-Allergen,0.0
Negative_235,Non-Allergen,0.0
Negative_236,Non-Allergen,0.0
Negative_237,Allergen,0.999
Negative_238,Non-Allergen,0.001
Negative_239,Non-Allergen,0.0
Negative_241,Non-Allergen,0.0
Negative_243,Non-Allergen,0.001
Negative_246,Non-Allergen,0.0
Negative_247,Non-Allergen,0.0
Negative_248,Non-Allergen,0.0
Negative_250,Allergen,0.996
Negative_251,Non-Allergen,0.012
Negative_255,Non-Allergen,0.0
Negative_256,Non-Allergen,0.0
Negative_257,Non-Allergen,0.001
Negative_258,Non-Allergen,0.0
Negative_263,Non-Allergen,0.0
Negative_265,Non-Allergen,0.001
Negative_266,Allergen,0.507
Negative_267,Non-Allergen,0.0
Negative_269,Non-Allergen,0.0
Negative_272,Non-Allergen,0.0
Negative_274,Non-Allergen,0.0
Negative_275,Non-Allergen,0.0
Negative_277,Non-Allergen,0.0
Negative_278,Non-Allergen,0.0
Negative_279,Non-Allergen,0.0
Negative_280,Non-Allergen,0.0
Negative_281,Non-Allergen,0.0
Negative_286,Non-Allergen,0.0
Negative_287,Non-Allergen,0.0
Negative_288,Non-Allergen,0.0
Negative_289,Non-Allergen,0.0
Negative_291,Non-Allergen,0.0
Negative_293,Non-Allergen,0.002
Negative_294,Non-Allergen,0.0
Negative_296,Non-Allergen,0.0
Negative_298,Non-Allergen,0.0
Negative_299,Non-Allergen,0.0
Negative_300,Non-Allergen,0.0
Negative_302,Non-Allergen,0.0
Negative_303,Non-Allergen,0.0
Negative_304,Non-Allergen,0.0
Negative_310,Non-Allergen,0.0
Negative_312,Allergen,1.0
Negative_313,Non-Allergen,0.0
Negative_314,Non-Allergen,0.0
Negative_316,Allergen,1.0
Negative_317,Non-Allergen,0.005
Negative_318,Non-Allergen,0.0
Negative_319,Non-Allergen,0.0
Negative_320,Non-Allergen,0.0
Negative_327,Non-Allergen,0.026
Negative_328,Non-Allergen,0.0
Negative_333,Non-Allergen,0.0
Negative_334,Non-Allergen,0.0
Negative_335,Non-Allergen,0.0
Negative_337,Non-Allergen,0.0
Negative_338,Non-Allergen,0.0
Negative_339,Non-Allergen,0.0
Negative_340,Non-Allergen,0.0
Negative_341,Non-Allergen,0.0
Negative_342,Non-Allergen,0.0
Negative_343,Non-Allergen,0.001
Negative_345,Allergen,1.0
Negative_346,Non-Allergen,0.018
Negative_350,Non-Allergen,0.0
Negative_351,Non-Allergen,0.0
Negative_352,Allergen,1.0
Negative_353,Allergen,1.0
Negative_354,Non-Allergen,0.002
Negative_355,Non-Allergen,0.022
Negative_356,Non-Allergen,0.0
Negative_357,Non-Allergen,0.0
Negative_358,Allergen,0.999
Negative_359,Allergen,1.0
Negative_360,Non-Allergen,0.0
Negative_366,Non-Allergen,0.0
Negative_377,Non-Allergen,0.0
Negative_378,Non-Allergen,0.126
Negative_379,Non-Allergen,0.0
Negative_380,Allergen,1.0
Negative_382,Non-Allergen,0.001
Negative_384,Non-Allergen,0.003
Negative_386,Non-Allergen,0.0
Negative_388,Non-Allergen,0.0
Negative_389,Non-Allergen,0.0
Negative_390,Non-Allergen,0.0
Negative_391,Non-Allergen,0.0
Negative_392,Allergen,0.961
Negative_393,Non-Allergen,0.001
Negative_394,Non-Allergen,0.0
Negative_395,Non-Allergen,0.171
Negative_396,Non-Allergen,0.0
Negative_398,Non-Allergen,0.0
Negative_399,Non-Allergen,0.0
Negative_400,Non-Allergen,0.0
Negative_401,Non-Allergen,0.0
Negative_403,Non-Allergen,0.0
Negative_404,Non-Allergen,0.0
Negative_406,Non-Allergen,0.0
Negative_408,Non-Allergen,0.0
Negative_409,Non-Allergen,0.0
Negative_410,Non-Allergen,0.0
Negative_411,Non-Allergen,0.0
Negative_412,Non-Allergen,0.0
Negative_414,Non-Allergen,0.0
Negative_415,Non-Allergen,0.0
Negative_416,Non-Allergen,0.0
Negative_417,Non-Allergen,0.0
Negative_418,Allergen,0.763
Negative_419,Non-Allergen,0.012
Negative_422,Allergen,1.0
Negative_423,Non-Allergen,0.25
Negative_424,Non-Allergen,0.0
Negative_427,Non-Allergen,0.0
Negative_428,Non-Allergen,0.0
Negative_430,Non-Allergen,0.0
Negative_433,Non-Allergen,0.107
Negative_434,Non-Allergen,0.102
Negative_436,Non-Allergen,0.0
Negative_437,Non-Allergen,0.0
Negative_438,Allergen,0.961
Negative_439,Allergen,0.894
Negative_441,Allergen,0.982
Negative_442,Non-Allergen,0.0
Negative_443,Non-Allergen,0.0
Negative_444,Non-Allergen,0.0
Negative_446,Non-Allergen,0.0
Negative_448,Non-Allergen,0.001
Negative_449,Allergen,1.0
Negative_450,Non-Allergen,0.0
Negative_451,Non-Allergen,0.0
Negative_452,Non-Allergen,0.0
Negative_453,Non-Allergen,0.0
Negative_454,Non-Allergen,0.0
Negative_455,Allergen,0.96
Negative_456,Non-Allergen,0.346
Negative_457,Non-Allergen,0.0
Negative_458,Non-Allergen,0.0
Negative_459,Non-Allergen,0.0
Negative_460,Non-Allergen,0.0
Negative_461,Non-Allergen,0.0
Negative_462,Non-Allergen,0.0
Negative_463,Non-Allergen,0.0
Negative_464,Allergen,1.0
Negative_465,Non-Allergen,0.0
Negative_466,Non-Allergen,0.0
Negative_467,Non-Allergen,0.0
Negative_470,Non-Allergen,0.0
Negative_472,Non-Allergen,0.0
Negative_474,Non-Allergen,0.0
Negative_475,Non-Allergen,0.0
Negative_476,Non-Allergen,0.01
Negative_477,Non-Allergen,0.0
Negative_478,Non-Allergen,0.0
Negative_479,Non-Allergen,0.0
Negative_480,Non-Allergen,0.0
Negative_481,Non-Allergen,0.0
Negative_482,Non-Allergen,0.0
Negative_483,Non-Allergen,0.0
Negative_484,Non-Allergen,0.0
Negative_485,Non-Allergen,0.0
Negative_487,Non-Allergen,0.0
Negative_488,Non-Allergen,0.0
Negative_489,Non-Allergen,0.0
Negative_490,Non-Allergen,0.0
Negative_492,Non-Allergen,0.0
Negative_493,Non-Allergen,0.0
Negative_496,Non-Allergen,0.0
Negative_497,Non-Allergen,0.0
Negative_498,Non-Allergen,0.0
Negative_500,Non-Allergen,0.0
Negative_501,Non-Allergen,0.0
Negative_502,Non-Allergen,0.0
Negative_503,Non-Allergen,0.0
Negative_504,Non-Allergen,0.0
Negative_505,Non-Allergen,0.0
Negative_506,Non-Allergen,0.0
Negative_507,Non-Allergen,0.0
Negative_508,Non-Allergen,0.0
Negative_509,Non-Allergen,0.0
Negative_510,Non-Allergen,0.0
Negative_511,Non-Allergen,0.0
Negative_512,Non-Allergen,0.0
Negative_513,Non-Allergen,0.0
Negative_514,Non-Allergen,0.0
Negative_515,Non-Allergen,0.0
Negative_516,Non-Allergen,0.0
Negative_517,Non-Allergen,0.0
Negative_518,Non-Allergen,0.0
Negative_519,Non-Allergen,0.0
Negative_520,Non-Allergen,0.0
Negative_521,Non-Allergen,0.0
Negative_522,Non-Allergen,0.0
Negative_524,Non-Allergen,0.0
Negative_525,Non-Allergen,0.0
Negative_531,Non-Allergen,0.0
Negative_535,Non-Allergen,0.0
Negative_541,Non-Allergen,0.0
Negative_542,Non-Allergen,0.0
Negative_544,Non-Allergen,0.0
Negative_547,Non-Allergen,0.0
Negative_553,Non-Allergen,0.0
Negative_555,Non-Allergen,0.0
Negative_561,Non-Allergen,0.0
Negative_564,Non-Allergen,0.0
Negative_565,Non-Allergen,0.0
Negative_566,Non-Allergen,0.0
Negative_567,Non-Allergen,0.0
Negative_568,Non-Allergen,0.0
Negative_569,Non-Allergen,0.0
Negative_571,Non-Allergen,0.0
Negative_572,Non-Allergen,0.0
Negative_575,Non-Allergen,0.0
Negative_576,Non-Allergen,0.0
Negative_577,Non-Allergen,0.0
Negative_579,Non-Allergen,0.0
Negative_580,Non-Allergen,0.0
Negative_584,Non-Allergen,0.0
Negative_585,Non-Allergen,0.0
Negative_586,Non-Allergen,0.0
Negative_588,Non-Allergen,0.0
Negative_589,Non-Allergen,0.0
Negative_591,Non-Allergen,0.0
Negative_592,Non-Allergen,0.0
Negative_593,Non-Allergen,0.005
Negative_596,Non-Allergen,0.0
Negative_597,Non-Allergen,0.0
Negative_598,Non-Allergen,0.0
Negative_599,Non-Allergen,0.0
Negative_600,Non-Allergen,0.0
Negative_602,Non-Allergen,0.0
Negative_603,Non-Allergen,0.0
Negative_607,Non-Allergen,0.0
Negative_608,Non-Allergen,0.0
Negative_611,Non-Allergen,0.026
Negative_613,Non-Allergen,0.0
Negative_616,Non-Allergen,0.0
Negative_618,Non-Allergen,0.0
Negative_619,Non-Allergen,0.0
