k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
6,0.6,0.8450704225352113,0.7225352112676056,0.4444444444444444,0.3595368925901604,0.4289559114564316,60,40,600,110
31,0.58,0.8549295774647887,0.7174647887323944,0.4444444444444444,0.3585195402972336,0.4443483177582028,57,43,607,103
56,0.58,0.8577464788732394,0.7188732394366197,0.4478764478764478,0.3625457173744127,0.4434366519278281,57,43,609,101
81,0.62,0.8760563380281691,0.7480281690140845,0.496,0.4200902287081692,0.3997024284927319,62,38,622,88
106,0.59,0.8704225352112676,0.7302112676056338,0.4701195219123506,0.3889148849922136,0.429988743319026,59,41,618,92
131,0.54,0.8690140845070422,0.7045070422535211,0.437246963562753,0.3491017340942713,0.4782858037382337,54,46,617,93
156,0.55,0.8647887323943662,0.7073943661971831,0.4382470119521912,0.3503684112273078,0.4698745437747423,55,45,614,96
181,0.55,0.8647887323943662,0.7073943661971831,0.4382470119521912,0.3503684112273078,0.4698745437747423,55,45,614,96
206,0.55,0.8647887323943662,0.7073943661971831,0.4382470119521912,0.3503684112273078,0.4698745437747423,55,45,614,96
231,0.55,0.8647887323943662,0.7073943661971831,0.4382470119521912,0.3503684112273078,0.4698745437747423,55,45,614,96
256,0.55,0.8647887323943662,0.7073943661971831,0.4382470119521912,0.3503684112273078,0.4698745437747423,55,45,614,96
