k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
6,0.72,0.8549295774647887,0.7874647887323943,0.5236363636363637,0.4595554691931714,0.315349690810923,72,28,607,103
31,0.76,0.9028169014084508,0.8314084507042254,0.6204081632653061,0.5687585321377687,0.2589296326260376,76,24,641,69
56,0.68,0.9140845070422536,0.7970422535211268,0.5938864628820961,0.5340832895552494,0.3313328717923601,68,32,649,61
81,0.67,0.9112676056338028,0.7906338028169014,0.5826086956521739,0.5209297518723867,0.3417212867381227,67,33,647,63
106,0.67,0.9098591549295776,0.7899295774647888,0.5800865800865801,0.5180613079409537,0.3420897133063341,67,33,646,64
131,0.67,0.9154929577464788,0.7927464788732395,0.5903083700440529,0.5297105684954524,0.3406485581804778,67,33,650,60
156,0.69,0.904225352112676,0.7971126760563381,0.5822784810126582,0.5214498361526906,0.3244576754800862,69,31,642,68
181,0.69,0.904225352112676,0.7971126760563381,0.5822784810126582,0.5214498361526906,0.3244576754800862,69,31,642,68
206,0.69,0.904225352112676,0.7971126760563381,0.5822784810126582,0.5214498361526906,0.3244576754800862,69,31,642,68
231,0.69,0.904225352112676,0.7971126760563381,0.5822784810126582,0.5214498361526906,0.3244576754800862,69,31,642,68
256,0.69,0.904225352112676,0.7971126760563381,0.5822784810126582,0.5214498361526906,0.3244576754800862,69,31,642,68
