k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
6,0.7,0.8450704225352113,0.7725352112676056,0.5,0.4312958341782086,0.3376435605389476,70,30,600,110
31,0.67,0.8915492957746479,0.780774647887324,0.5491803278688525,0.4831685976915342,0.3473637218348726,67,33,633,77
56,0.71,0.9056338028169014,0.8078169014084506,0.5966386554621849,0.5386757839867095,0.304967177202399,71,29,643,67
81,0.67,0.9,0.785,0.5630252100840336,0.4987464877131579,0.3448187929913333,67,33,639,71
106,0.61,0.9098591549295776,0.7599295774647887,0.5422222222222223,0.473385093878117,0.4002816158031866,61,39,646,64
131,0.64,0.9183098591549296,0.7791549295774648,0.5765765765765766,0.5134880451979908,0.369152108366304,64,36,652,58
156,0.62,0.9098591549295776,0.7649295774647887,0.5486725663716814,0.4809238259414363,0.3905449678974367,62,38,646,64
181,0.62,0.9098591549295776,0.7649295774647887,0.5486725663716814,0.4809238259414363,0.3905449678974367,62,38,646,64
206,0.62,0.9098591549295776,0.7649295774647887,0.5486725663716814,0.4809238259414363,0.3905449678974367,62,38,646,64
231,0.62,0.9098591549295776,0.7649295774647887,0.5486725663716814,0.4809238259414363,0.3905449678974367,62,38,646,64
256,0.62,0.9098591549295776,0.7649295774647887,0.5486725663716814,0.4809238259414363,0.3905449678974367,62,38,646,64
