k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
6,0.59,0.7901408450704225,0.6900704225352112,0.3831168831168831,0.2862488806527482,0.4605875214416435,59,41,561,149
31,0.65,0.8366197183098592,0.7433098591549296,0.4626334519572954,0.3842857383583414,0.386255247789787,65,35,594,116
56,0.59,0.8535211267605634,0.7217605633802817,0.4486692015209125,0.3639129779219807,0.4353803627926907,59,41,606,104
81,0.6,0.8436619718309859,0.721830985915493,0.4428044280442804,0.3576291373781747,0.4294666215805082,60,40,599,111
106,0.6,0.8436619718309859,0.721830985915493,0.4428044280442804,0.3576291373781747,0.4294666215805082,60,40,599,111
131,0.6,0.8436619718309859,0.721830985915493,0.4428044280442804,0.3576291373781747,0.4294666215805082,60,40,599,111
156,0.6,0.8436619718309859,0.721830985915493,0.4428044280442804,0.3576291373781747,0.4294666215805082,60,40,599,111
181,0.6,0.8436619718309859,0.721830985915493,0.4428044280442804,0.3576291373781747,0.4294666215805082,60,40,599,111
206,0.6,0.8436619718309859,0.721830985915493,0.4428044280442804,0.3576291373781747,0.4294666215805082,60,40,599,111
231,0.6,0.8436619718309859,0.721830985915493,0.4428044280442804,0.3576291373781747,0.4294666215805082,60,40,599,111
256,0.6,0.8436619718309859,0.721830985915493,0.4428044280442804,0.3576291373781747,0.4294666215805082,60,40,599,111
