k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
6,0.67,0.8154929577464789,0.7427464788732394,0.4496644295302013,0.3716240421599566,0.3780778341044904,67,33,579,131
31,0.63,0.8619718309859155,0.7459859154929578,0.4827586206896552,0.4055403996950249,0.3949072998076646,63,37,612,98
56,0.68,0.8676056338028169,0.7738028169014084,0.5190839694656488,0.450351975024481,0.3463066101025994,68,32,616,94
81,0.62,0.8704225352112676,0.7452112676056337,0.4881889763779528,0.4111377097576713,0.4014851421672727,62,38,618,92
106,0.65,0.8633802816901408,0.7566901408450704,0.4961832061068702,0.4222049765854509,0.3757192401661981,65,35,613,97
131,0.65,0.8732394366197183,0.7616197183098592,0.5098039215686274,0.4375655726191416,0.3722475526158452,65,35,620,90
156,0.65,0.8732394366197183,0.7616197183098592,0.5098039215686274,0.4375655726191416,0.3722475526158452,65,35,620,90
181,0.65,0.8732394366197183,0.7616197183098592,0.5098039215686274,0.4375655726191416,0.3722475526158452,65,35,620,90
206,0.65,0.8732394366197183,0.7616197183098592,0.5098039215686274,0.4375655726191416,0.3722475526158452,65,35,620,90
231,0.65,0.8732394366197183,0.7616197183098592,0.5098039215686274,0.4375655726191416,0.3722475526158452,65,35,620,90
256,0.65,0.8732394366197183,0.7616197183098592,0.5098039215686274,0.4375655726191416,0.3722475526158452,65,35,620,90
