k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
6,0.54,0.8070422535211268,0.6735211267605634,0.3711340206185567,0.2689363590763409,0.4988313261275849,54,46,573,137
31,0.59,0.8408450704225352,0.7154225352112675,0.4338235294117647,0.3465578493328085,0.4398071072740955,59,41,597,113
56,0.59,0.8507042253521127,0.7203521126760564,0.4452830188679245,0.3599602620939597,0.4363361414411059,59,41,604,106
81,0.58,0.8661971830985915,0.7230985915492958,0.458498023715415,0.3749968316345745,0.4407983595826462,57,43,615,95
106,0.58,0.8591549295774648,0.7195774647887323,0.4496124031007752,0.3645814729063914,0.4429868326060369,57,43,610,100
131,0.56,0.8535211267605634,0.7067605633802817,0.4307692307692308,0.3416726430609441,0.4637413722167722,56,44,606,104
156,0.58,0.8605633802816901,0.7202816901408451,0.4513618677042801,0.3666326629164189,0.4425410386828193,57,43,611,99
181,0.58,0.8605633802816901,0.7202816901408451,0.4513618677042801,0.3666326629164189,0.4425410386828193,57,43,611,99
206,0.58,0.8605633802816901,0.7202816901408451,0.4513618677042801,0.3666326629164189,0.4425410386828193,57,43,611,99
231,0.58,0.8605633802816901,0.7202816901408451,0.4513618677042801,0.3666326629164189,0.4425410386828193,57,43,611,99
256,0.58,0.8605633802816901,0.7202816901408451,0.4513618677042801,0.3666326629164189,0.4425410386828193,57,43,611,99
