k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.64,0.6591549295774648,0.6495774647887325,0.3152709359605911,0.2029781811639922,0.4957573620546073,64,36,468,242
16,0.68,0.8507042253521127,0.7653521126760563,0.4963503649635036,0.4250876990672007,0.3531136195726705,68,32,604,106
31,0.68,0.8647887323943662,0.772394366197183,0.5151515151515151,0.445983825083835,0.3473932740965523,68,32,614,96
46,0.64,0.8605633802816901,0.7502816901408451,0.4866920152091255,0.4107166476769512,0.3860603203107884,64,36,611,99
61,0.65,0.8661971830985915,0.7580985915492957,0.5,0.4265089362460355,0.374704141704828,65,35,615,95
76,0.69,0.8633802816901408,0.7766901408450704,0.518796992481203,0.4509785404827555,0.3387697557797409,69,31,613,97
91,0.68,0.8690140845070422,0.7745070422535212,0.5210727969348659,0.4525612590928162,0.3457706032292627,68,32,617,93
106,0.66,0.8732394366197183,0.7666197183098591,0.515625,0.4448363431765452,0.3628611861697065,66,34,620,90
121,0.67,0.8732394366197183,0.7716197183098592,0.5214007782101168,0.4520787023237301,0.3535084729231909,67,33,620,90
136,0.67,0.8690140845070422,0.7695070422535211,0.5153846153846153,0.4453614458427224,0.3550455042068949,67,33,617,93
151,0.69,0.8774647887323944,0.7837323943661971,0.5390625,0.4733876457100636,0.3333389836193732,69,31,623,87
166,0.67,0.8732394366197183,0.7716197183098592,0.5214007782101168,0.4520787023237301,0.3535084729231909,67,33,620,90
181,0.67,0.8704225352112676,0.7702112676056339,0.5173745173745173,0.4475829850597238,0.3545283054723207,67,33,618,92
196,0.65,0.8704225352112676,0.7602112676056338,0.5058365758754864,0.4330906935665498,0.3732161831714632,65,35,618,92
211,0.64,0.8661971830985915,0.7530985915492958,0.4942084942084942,0.4192372291646201,0.384061445358359,64,36,615,95
226,0.62,0.8661971830985915,0.7430985915492958,0.4824902723735408,0.4046086804307794,0.4028687054249211,62,38,615,95
241,0.62,0.8676056338028169,0.7438028169014084,0.484375,0.4067679397985208,0.4024031165395639,62,38,616,94
256,0.61,0.8690140845070422,0.739507042253521,0.4803149606299212,0.4015736217363125,0.4114089328849439,61,39,617,93
