k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.59,0.6084507042253521,0.599225352112676,0.2700228832951945,0.1324452227104067,0.56693108136847,59,41,432,278
16,0.71,0.8732394366197183,0.7916197183098591,0.5440613026819924,0.480773774731491,0.3164936657004156,71,29,620,90
31,0.7,0.8887323943661972,0.7943661971830986,0.5622489959839357,0.4998655921499553,0.3199694986455419,70,30,631,79
46,0.69,0.8971830985915493,0.7935915492957746,0.5702479338842975,0.5080077260772433,0.3266057489010797,69,31,637,73
61,0.71,0.8943661971830986,0.8021830985915492,0.5772357723577236,0.5172123335392153,0.3086397581284045,71,29,635,75
76,0.67,0.8943661971830986,0.7821830985915493,0.5537190082644629,0.4882674402474248,0.3464945891317207,67,33,635,75
91,0.7,0.895774647887324,0.7978873239436619,0.5737704918032787,0.5126167966479032,0.3175892378891503,70,30,636,74
106,0.65,0.9028169014084508,0.7764084507042254,0.5555555555555556,0.4894234110948007,0.3632417303282413,65,35,641,69
121,0.65,0.908450704225352,0.7792253521126761,0.5652173913043478,0.5004813341831871,0.3617751699009122,65,35,645,65
136,0.65,0.9028169014084508,0.7764084507042254,0.5555555555555556,0.4894234110948007,0.3632417303282413,65,35,641,69
151,0.66,0.908450704225352,0.7842253521126761,0.5714285714285714,0.5078687002306751,0.3521097464666861,66,34,645,65
166,0.68,0.9070422535211268,0.7935211267605634,0.5811965811965812,0.5197240197307337,0.3332283640844975,68,32,644,66
181,0.64,0.908450704225352,0.7742253521126761,0.5589519650655022,0.493058399603637,0.3714583066197793,64,36,645,65
196,0.63,0.9112676056338028,0.7706338028169014,0.5575221238938053,0.491278645160271,0.3804910482652099,63,37,647,63
211,0.65,0.9098591549295776,0.7799295774647887,0.5676855895196506,0.5033146220915402,0.3614213219360611,65,35,646,64
226,0.65,0.908450704225352,0.7792253521126761,0.5652173913043478,0.5004813341831871,0.3617751699009122,65,35,645,65
241,0.65,0.908450704225352,0.7792253521126761,0.5652173913043478,0.5004813341831871,0.3617751699009122,65,35,645,65
256,0.65,0.908450704225352,0.7792253521126761,0.5652173913043478,0.5004813341831871,0.3617751699009122,65,35,645,65
