k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.58,0.6126760563380281,0.596338028169014,0.2678983833718245,0.1288177225590272,0.571331635159355,57,43,435,275
16,0.64,0.8647887323943662,0.752394366197183,0.4923076923076923,0.417082681447692,0.3845544004266786,64,36,614,96
31,0.64,0.8915492957746479,0.765774647887324,0.5311203319502075,0.4611583814580596,0.3759807910611589,64,36,633,77
46,0.66,0.8887323943661972,0.7743661971830986,0.5387755102040817,0.4708634171714295,0.3577435954192324,66,34,631,79
61,0.67,0.9028169014084508,0.7864084507042254,0.5677966101694916,0.5041335441613494,0.3440124338622875,67,33,641,69
76,0.65,0.9126760563380282,0.7813380281690141,0.5726872246696035,0.5090675297424422,0.3607290827431013,65,35,648,62
91,0.65,0.9014084507042254,0.7757042253521127,0.5531914893617021,0.4867251878120796,0.3636210851869582,65,35,640,70
106,0.61,0.9014084507042254,0.7557042253521127,0.5281385281385281,0.4569056616792817,0.4022689319255728,61,39,640,70
121,0.61,0.895774647887324,0.752887323943662,0.5191489361702127,0.4464444826138385,0.4036866656492524,61,39,636,74
136,0.63,0.9014084507042254,0.7657042253521127,0.5407725321888412,0.4718864163791246,0.3829102944457633,63,37,640,70
151,0.62,0.9,0.76,0.5321888412017167,0.4617558042066599,0.39293765408777,62,38,639,71
166,0.63,0.9014084507042254,0.7657042253521127,0.5407725321888412,0.4718864163791246,0.3829102944457633,63,37,640,70
181,0.63,0.9,0.765,0.5384615384615384,0.4692230053375121,0.383275357934736,63,37,639,71
196,0.61,0.9014084507042254,0.7557042253521127,0.5281385281385281,0.4569056616792817,0.4022689319255728,61,39,640,70
211,0.61,0.904225352112676,0.757112676056338,0.5327510917030568,0.4622897321399278,0.401587827477304,61,39,642,68
226,0.62,0.9028169014084508,0.7614084507042254,0.5367965367965368,0.4670982693895604,0.3922302316903361,62,38,641,69
241,0.62,0.9028169014084508,0.7614084507042254,0.5367965367965368,0.4670982693895604,0.3922302316903361,62,38,641,69
256,0.62,0.904225352112676,0.762112676056338,0.5391304347826087,0.4698087076493877,0.3918836347411574,62,38,642,68
