k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.55,0.6957746478873239,0.622887323943662,0.2964959568733153,0.1713512310489662,0.5431878725340632,55,45,494,216
16,0.69,0.8267605633802817,0.7583802816901408,0.4726027397260274,0.3997363894889173,0.3551223766539042,69,31,587,123
31,0.67,0.8492957746478873,0.7596478873239436,0.4890510948905109,0.415949667319737,0.3627833562044713,67,33,603,107
46,0.67,0.8591549295774648,0.7645774647887325,0.50187265917603,0.4302771651729961,0.3587998520935159,67,33,610,100
61,0.66,0.8690140845070422,0.7645070422535212,0.5096525096525096,0.4381343997613559,0.364358765583495,66,34,617,93
76,0.66,0.8647887323943662,0.762394366197183,0.5038167938931297,0.4315873093984609,0.3658990118701092,66,34,614,96
91,0.63,0.8676056338028169,0.7488028169014085,0.490272373540856,0.4141026848093695,0.3929736227798932,63,37,616,94
106,0.63,0.8760563380281691,0.7530281690140845,0.50199203187251,0.4274613587571195,0.3902076771963713,63,37,622,88
121,0.65,0.8788732394366198,0.7644366197183099,0.5179282868525896,0.4467345956395724,0.3703669695377524,65,35,624,86
136,0.63,0.8859154929577465,0.7579577464788733,0.5163934426229508,0.4439043324163757,0.3871889393397931,63,37,629,81
151,0.64,0.8845070422535212,0.7622535211267606,0.5203252032520326,0.4488694313912929,0.3780722461237136,64,36,628,82
166,0.66,0.8802816901408451,0.7701408450704226,0.5258964143426295,0.4563712140807989,0.3604614732749293,66,34,625,85
181,0.68,0.8845070422535212,0.7822535211267606,0.544,0.4780583863322948,0.3402037966999044,68,32,628,82
196,0.66,0.8845070422535212,0.7722535211267606,0.532258064516129,0.4635246374764299,0.3590802463085792,66,34,628,82
211,0.67,0.8859154929577465,0.7779577464788733,0.5403225806451613,0.4732363538850153,0.3491636790204186,67,33,629,81
226,0.67,0.8845070422535212,0.7772535211267606,0.5381526104417671,0.4708064201661182,0.3496264053086235,67,33,628,82
241,0.67,0.8816901408450705,0.7758450704225353,0.5338645418326693,0.4660078325220253,0.3505670018316887,67,33,626,84
256,0.67,0.8816901408450705,0.7758450704225353,0.5338645418326693,0.4660078325220253,0.3505670018316887,67,33,626,84
