k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.58,0.6605633802816901,0.620281690140845,0.2907268170426065,0.1639882184486248,0.5400159431033426,57,43,469,241
16,0.68,0.8788732394366198,0.7794366197183099,0.5354330708661418,0.4685222378858242,0.3421574084023001,68,32,624,86
31,0.68,0.8802816901408451,0.7801408450704226,0.5375494071146245,0.4708767033593236,0.341661343607281,68,32,625,85
46,0.71,0.8859154929577465,0.7979577464788732,0.5634920634920635,0.5020871542160324,0.3116332375518921,71,29,629,81
61,0.7,0.8830985915492958,0.7915492957746479,0.5533596837944664,0.4900526777042734,0.3219719542099256,70,30,627,83
76,0.71,0.8830985915492958,0.7965492957746478,0.5590551181102362,0.4972145019499006,0.3126754536220558,71,29,627,83
91,0.69,0.8929577464788733,0.7914788732394367,0.563265306122449,0.5002319516613313,0.3279604305993044,69,31,634,76
106,0.71,0.8943661971830986,0.8021830985915492,0.5772357723577236,0.5172123335392153,0.3086397581284045,71,29,635,75
121,0.71,0.8887323943661972,0.7993661971830985,0.568,0.5070424651443576,0.3106130713017073,71,29,631,79
136,0.7,0.8929577464788733,0.7964788732394366,0.5691056910569106,0.5074490618037978,0.318524793444531,70,30,634,76
151,0.74,0.8887323943661972,0.8143661971830987,0.5849802371541502,0.5284046263941732,0.2828082036707554,74,26,631,79
166,0.7,0.8887323943661972,0.7943661971830986,0.5622489959839357,0.4998655921499553,0.3199694986455419,70,30,631,79
181,0.71,0.8873239436619719,0.798661971830986,0.5657370517928287,0.5045543062869312,0.3111203845328854,71,29,630,80
196,0.7,0.8901408450704226,0.7950704225352112,0.5645161290322581,0.5023715031107713,0.3194824469698467,70,30,632,78
211,0.7,0.8901408450704226,0.7950704225352112,0.5645161290322581,0.5023715031107713,0.3194824469698467,70,30,632,78
226,0.69,0.8915492957746479,0.7907746478873239,0.5609756097560976,0.4976857900683803,0.3284228299722399,69,31,633,77
241,0.69,0.8915492957746479,0.7907746478873239,0.5609756097560976,0.4976857900683803,0.3284228299722399,69,31,633,77
256,0.69,0.8901408450704226,0.7900704225352113,0.5587044534412956,0.4951618604456969,0.3288906108751676,69,31,632,78
