k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.54,0.5774647887323944,0.5587323943661973,0.237885462555066,0.0779027563160984,0.624608681304511,54,46,410,300
16,0.61,0.8352112676056338,0.7226056338028168,0.4388489208633093,0.3536932577461422,0.4233855528051731,61,39,593,117
31,0.6,0.8323943661971831,0.7161971830985916,0.4301075268817204,0.3428214646247198,0.4336953406280081,60,40,591,119
46,0.63,0.8605633802816901,0.745281690140845,0.4809160305343511,0.4034403109594309,0.3954017841619693,63,37,611,99
61,0.66,0.8690140845070422,0.7645070422535212,0.5096525096525096,0.4381343997613559,0.364358765583495,66,34,617,93
76,0.66,0.8788732394366198,0.7694366197183099,0.5238095238095238,0.4540263417703947,0.3609317000826866,66,34,624,86
91,0.7,0.8845070422535212,0.7922535211267605,0.5555555555555556,0.4924749917269049,0.3214632534039154,70,30,628,82
106,0.72,0.8816901408450705,0.8008450704225352,0.5625,0.501938948243582,0.3039691148344832,72,28,626,84
121,0.7,0.8845070422535212,0.7922535211267605,0.5555555555555556,0.4924749917269049,0.3214632534039154,70,30,628,82
136,0.67,0.8859154929577465,0.7779577464788733,0.5403225806451613,0.4732363538850153,0.3491636790204186,67,33,629,81
151,0.68,0.8788732394366198,0.7794366197183099,0.5354330708661418,0.4685222378858242,0.3421574084023001,68,32,624,86
166,0.66,0.8788732394366198,0.7694366197183099,0.5238095238095238,0.4540263417703947,0.3609317000826866,66,34,624,86
181,0.68,0.8802816901408451,0.7801408450704226,0.5375494071146245,0.4708767033593236,0.341661343607281,68,32,625,85
196,0.68,0.8704225352112676,0.7752112676056337,0.5230769230769231,0.454787700641066,0.3452395101680501,68,32,618,92
211,0.68,0.8704225352112676,0.7752112676056337,0.5230769230769231,0.454787700641066,0.3452395101680501,68,32,618,92
226,0.68,0.8746478873239436,0.7773239436619719,0.5291828793774319,0.4615727067023202,0.3436759406073557,68,32,621,89
241,0.69,0.8774647887323944,0.7837323943661971,0.5390625,0.4733876457100636,0.3333389836193732,69,31,623,87
256,0.69,0.8760563380281691,0.7830281690140846,0.5369649805447471,0.4710667110809103,0.3338592987217632,69,31,622,88
