k,sensitivity,specificity,bacc,f1_score,mcc,composite_score
16,0.67,0.8985915492957747,0.7842957746478874,0.5606694560669456,0.4960905049646784,0.34522988554618395
31,0.7,0.9056338028169014,0.8028169014084507,0.5907172995780591,0.5314610797479425,0.31449162019169835
46,0.73,0.9183098591549296,0.8241549295774648,0.6320346320346321,0.5792169542026258,0.2820873607790456
61,0.71,0.923943661971831,0.8169718309859155,0.6311111111111111,0.5772707416812258,0.2998075491949046
76,0.72,0.9267605633802817,0.8233802816901408,0.6428571428571429,0.5908806997170505,0.28942013592072985
91,0.68,0.9267605633802817,0.8033802816901409,0.6181818181818182,0.5618641878468615,0.32827429853153856
106,0.68,0.9267605633802817,0.8033802816901409,0.6181818181818182,0.5618641878468615,0.32827429853153856
121,0.69,0.9323943661971831,0.8111971830985916,0.6359447004608295,0.5824186576103305,0.31728618268352093
136,0.7,0.9323943661971831,0.8161971830985915,0.6422018348623854,0.5896891211099055,0.3075232051762608
151,0.69,0.9225352112676056,0.8062676056338027,0.6160714285714286,0.5596124048496195,0.31953214782452566
166,0.67,0.9211267605633803,0.7955633802816902,0.600896860986547,0.5418497416089514,0.3392948391874334
181,0.69,0.9183098591549296,0.8041549295774648,0.6079295154185022,0.5503536072484626,0.32058271804838057
196,0.68,0.9211267605633803,0.8005633802816902,0.6071428571428571,0.5491896398938091,0.3295769832667723
211,0.71,0.9267605633802817,0.8183802816901409,0.6367713004484304,0.5836794571870549,0.29910535781957126
226,0.71,0.9253521126760563,0.8176760563380281,0.6339285714285714,0.5804579347612402,0.29945334708753585
241,0.66,0.9169014084507042,0.7884507042253521,0.5866666666666667,0.5253279177796714,0.3500076797978534
256,0.64,0.923943661971831,0.7819718309859155,0.5871559633027523,0.5258608554396573,0.36794641804786615
