k,sensitivity,specificity,bacc,f1_score,mcc,composite_score
16,0.7,0.8971830985915493,0.7985915492957747,0.5761316872427984,0.5152354620822274,0.3171298081468141
31,0.67,0.9028169014084507,0.7864084507042254,0.5677966101694916,0.5041335441613494,0.3440124338622875
46,0.69,0.9183098591549296,0.8041549295774648,0.6079295154185022,0.5503536072484626,0.32058271804838057
61,0.67,0.928169014084507,0.7990845070422535,0.6146788990825688,0.5577749882747814,0.33772724281229033
76,0.69,0.9211267605633803,0.8055633802816902,0.6133333333333333,0.5564936121206041,0.3198765197685294
91,0.69,0.923943661971831,0.8069718309859155,0.6188340807174888,0.5627645993980032,0.31919361922547124
106,0.66,0.9197183098591549,0.7898591549295775,0.5919282511210763,0.5313923127144256,0.3493496096632579
121,0.67,0.9225352112676056,0.7962676056338028,0.6036036036036037,0.544965743226021,0.33897019558267133
136,0.67,0.9309859154929577,0.8004929577464789,0.6203703703703703,0.5643970546113405,0.3371393537698397
151,0.7,0.9225352112676056,0.8112676056338028,0.6222222222222222,0.5668821769009149,0.3098399481883421
166,0.7,0.9338028169014084,0.8169014084507042,0.6451612903225806,0.5930943560186666,0.30721664513855446
181,0.68,0.9295774647887324,0.8047887323943662,0.6238532110091743,0.5684130325531561,0.3276573415407965
196,0.69,0.9295774647887324,0.8097887323943662,0.6301369863013698,0.575721281254257,0.3178983067988602
211,0.66,0.9295774647887324,0.7947887323943662,0.6111111111111112,0.5536831663002276,0.34721655125523926
226,0.69,0.9309859154929577,0.8104929577464788,0.6330275229357798,0.5790510768315308,0.31758926912026675
241,0.73,0.928169014084507,0.8290845070422534,0.6517857142857143,0.6013034646728609,0.2793916436430978
256,0.68,0.9309859154929577,0.8054929577464789,0.6267281105990783,0.5717429592019946,0.3273575168838271
