k,sensitivity,specificity,bacc,f1_score,mcc,composite_score
16,0.61,0.8464788732394366,0.7282394366197182,0.45185185185185184,0.36875286990022466,0.4191285439597654
31,0.72,0.8647887323943662,0.7923943661971831,0.5373134328358209,0.4744670040441434,0.31093743243218935
46,0.71,0.8760563380281691,0.7930281690140846,0.5482625482625483,0.48537732625319546,0.3153760158017529
61,0.69,0.8816901408450705,0.7858450704225353,0.5454545454545454,0.4804646905317986,0.3318090155093127
76,0.67,0.8887323943661972,0.7793661971830986,0.5447154471544715,0.47815924659754533,0.3482534709999018
91,0.68,0.8788732394366198,0.7794366197183099,0.5354330708661418,0.4685222378858242,0.34215740840230013
106,0.68,0.8887323943661972,0.7843661971830986,0.5506072874493927,0.48542451868893516,0.33879268006183283
121,0.66,0.8901408450704226,0.7750704225352113,0.5409836065573771,0.47335253137274463,0.35730803786346715
136,0.63,0.895774647887324,0.762887323943662,0.5316455696202531,0.461382374581179,0.3843994329119273
151,0.67,0.8901408450704226,0.7800704225352113,0.5469387755102041,0.4806529286680634,0.3478060291625792
166,0.65,0.8873239436619719,0.768661971830986,0.5306122448979592,0.46107390567479556,0.36768994230450536
181,0.65,0.8901408450704226,0.7700704225352113,0.5349794238683128,0.46602075402956183,0.36683652206649336
196,0.63,0.895774647887324,0.762887323943662,0.5316455696202531,0.461382374581179,0.3843994329119273
211,0.66,0.8943661971830986,0.7771830985915493,0.5477178423236515,0.4809537332853532,0.35603160013903257
226,0.66,0.895774647887324,0.777887323943662,0.55,0.4835334101129479,0.3556162595031494
241,0.66,0.8915492957746479,0.775774647887324,0.5432098765432098,0.47586369564009495,0.3568775073424701
256,0.67,0.8859154929577465,0.7779577464788733,0.5403225806451613,0.4732363538850153,0.34916367902041867
