k,sensitivity,specificity,bacc,f1_score,mcc,composite_score
16,0.66,0.8816901408450705,0.7708450704225353,0.528,0.45873566712425295,0.3599961427199731
31,0.64,0.9056338028169014,0.7728169014084507,0.5541125541125541,0.4874834848101177,0.3721625708891202
46,0.67,0.9028169014084507,0.7864084507042254,0.5677966101694916,0.5041335441613494,0.3440124338622875
61,0.65,0.9084507042253521,0.7792253521126761,0.5652173913043478,0.5004813341831871,0.36177516990091224
76,0.66,0.9042253521126761,0.782112676056338,0.5641025641025641,0.499523613973445,0.3532319113244737
91,0.71,0.9056338028169014,0.8078169014084506,0.5966386554621849,0.5386757839867095,0.304967177202399
106,0.67,0.9042253521126761,0.7871126760563381,0.5702127659574469,0.5068655404112001,0.34361720442658406
121,0.7,0.9070422535211268,0.8035211267605633,0.5932203389830508,0.5342551205644002,0.31407187494334876
136,0.69,0.9112676056338028,0.8006338028169013,0.5948275862068966,0.535544012181953,0.3224491243746188
151,0.66,0.9028169014084507,0.7814084507042254,0.5617021276595745,0.4967953641116399,0.3536163947724352
166,0.65,0.9056338028169014,0.7778169014084507,0.5603448275862069,0.4948983668441801,0.36249824712789913
181,0.66,0.9169014084507042,0.7884507042253521,0.5866666666666667,0.5253279177796714,0.3500076797978534
196,0.66,0.9140845070422535,0.7870422535211268,0.5814977973568282,0.5193890491189473,0.3506871425218959
211,0.69,0.9070422535211268,0.7985211267605634,0.5872340425531914,0.5270058930103207,0.3236373628467988
226,0.66,0.9042253521126761,0.782112676056338,0.5641025641025641,0.499523613973445,0.3532319113244737
241,0.68,0.9056338028169014,0.7928169014084507,0.5787234042553191,0.5169357167107604,0.333624008684626
256,0.68,0.8985915492957747,0.7892957746478874,0.5666666666666667,0.5033845029761759,0.3356838898044278
