k,sensitivity,specificity,bacc,f1_score,mcc,composite_score
16,0.58,0.8605633802816901,0.7202816901408451,0.45136186770428016,0.3666326629164189,0.44254103868281935
31,0.67,0.8873239436619719,0.778661971830986,0.5425101214574899,0.47568717693217344,0.34870602758181635
46,0.67,0.8873239436619719,0.778661971830986,0.5425101214574899,0.47568717693217344,0.34870602758181635
61,0.66,0.8929577464788733,0.7764788732394367,0.5454545454545454,0.47839729733251557,0.3564520220715281
76,0.62,0.8788732394366198,0.7494366197183099,0.5,0.4246777718420887,0.39883792713905536
91,0.65,0.8816901408450705,0.7658450704225352,0.5220883534136547,0.45143363884356014,0.3694553055151045
106,0.61,0.8887323943661972,0.7493661971830986,0.5083333333333333,0.433905677954878,0.4055619312305822
121,0.65,0.8915492957746479,0.770774647887324,0.5371900826446281,0.4685271544176063,0.3664171874339068
136,0.65,0.8859154929577465,0.7679577464788733,0.5284552845528455,0.4586327031267104,0.3681239937128168
151,0.61,0.8971830985915493,0.7535915492957747,0.5213675213675214,0.44902259958022356,0.40332532181259717
166,0.64,0.8929577464788733,0.7664788732394366,0.5333333333333333,0.46368231724972,0.37557694822616733
181,0.66,0.8929577464788733,0.7764788732394367,0.5454545454545454,0.47839729733251557,0.3564520220715281
196,0.63,0.8859154929577465,0.7579577464788733,0.5163934426229508,0.4439043324163757,0.3871889393397931
211,0.63,0.8971830985915493,0.7635915492957747,0.5338983050847458,0.4639714422906148,0.3840199411687303
226,0.67,0.8971830985915493,0.7835915492957747,0.5583333333333333,0.4934589565445619,0.34564622841170284
241,0.65,0.8971830985915493,0.7735915492957747,0.5462184873949579,0.4787818395763821,0.3647894121479337
256,0.64,0.8901408450704226,0.7650704225352113,0.5289256198347108,0.458657011502697,0.37638947105603376
