k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.6,0.7985915492957747,0.6992957746478874,0.396039603960396,0.302562358355757,0.447845245609548,60,40,567,143
16,0.55,0.8267605633802817,0.6883802816901409,0.39568345323741,0.2993133389658116,0.4821948801058731,55,45,587,123
31,0.62,0.8394366197183099,0.7297183098591549,0.4492753623188406,0.3664829878610396,0.4125295129896558,62,38,596,114
46,0.61,0.8366197183098592,0.7233098591549296,0.4404332129963899,0.3555319046772015,0.4228393506346704,61,39,594,116
61,0.62,0.8338028169014085,0.7269014084507042,0.4428571428571428,0.3590788572925551,0.4147547512324684,62,38,592,118
76,0.59,0.847887323943662,0.718943661971831,0.4419475655430712,0.3560638026411618,0.4373079763930912,59,41,602,108
91,0.66,0.8366197183098592,0.7483098591549295,0.4680851063829787,0.3914151377612306,0.3772175982707458,66,34,594,116
106,0.61,0.8366197183098592,0.7233098591549296,0.4404332129963899,0.3555319046772015,0.4228393506346704,61,39,594,116
121,0.61,0.8380281690140845,0.7240140845070422,0.4420289855072464,0.3573827052072247,0.4222971395036083,61,39,595,115
136,0.6,0.847887323943662,0.7239436619718309,0.4477611940298507,0.3633923585887225,0.427946569348348,60,40,602,108
151,0.61,0.8436619718309859,0.7268309859154929,0.4485294117647059,0.3649110273622021,0.420168512684822,61,39,599,111
166,0.57,0.8549295774647887,0.7124647887323943,0.4384615384615384,0.3510988978592876,0.4538121059365261,56,44,607,103
181,0.53,0.8577464788732394,0.6938732394366197,0.4173228346456692,0.325060917565442,0.4910560703962041,53,47,609,101
196,0.57,0.8746478873239436,0.7223239436619717,0.4634146341463415,0.3805265292433705,0.4478985958365473,56,44,621,89
211,0.57,0.847887323943662,0.708943661971831,0.430188679245283,0.3413237768081747,0.4561121202259598,56,44,602,108
226,0.61,0.8633802816901408,0.7366901408450703,0.4728682170542636,0.3929949744831243,0.4132371564018237,61,39,613,97
241,0.59,0.8774647887323944,0.7337323943661972,0.4796747967479675,0.4000530727142054,0.4279192423815465,59,41,623,87
256,0.55,0.8647887323943662,0.7073943661971831,0.4382470119521912,0.3503684112273078,0.4698745437747423,55,45,614,96
