k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.69,0.7295774647887324,0.7097887323943661,0.3822714681440443,0.2953485907433129,0.4113737322072099,69,31,518,192
16,0.6,0.8338028169014085,0.7169014084507042,0.4316546762589928,0.3446299379494204,0.4331529795232935,60,40,592,118
31,0.61,0.8633802816901408,0.7366901408450703,0.4728682170542636,0.3929949744831243,0.4132371564018237,61,39,613,97
46,0.68,0.8619718309859155,0.7709859154929577,0.5112781954887218,0.4416811971946152,0.3484993191404836,68,32,612,98
61,0.68,0.8859154929577465,0.7829577464788733,0.5461847389558233,0.4804928108273972,0.3397282366054873,68,32,629,81
76,0.63,0.9014084507042254,0.7657042253521127,0.5407725321888412,0.4718864163791246,0.3829102944457633,63,37,640,70
91,0.69,0.8704225352112676,0.7802112676056338,0.5287356321839081,0.4619654309723745,0.3359915465916891,69,31,618,92
106,0.67,0.8971830985915493,0.7835915492957747,0.5583333333333333,0.4934589565445619,0.3456462284117028,67,33,637,73
121,0.68,0.8690140845070422,0.7745070422535212,0.5210727969348659,0.4525612590928162,0.3457706032292627,68,32,617,93
136,0.67,0.8971830985915493,0.7835915492957747,0.5583333333333333,0.4934589565445619,0.3456462284117028,67,33,637,73
151,0.64,0.895774647887324,0.767887323943662,0.5378151260504201,0.4687995155079942,0.3747838363950763,64,36,636,74
166,0.67,0.8971830985915493,0.7835915492957747,0.5583333333333333,0.4934589565445619,0.3456462284117028,67,33,637,73
181,0.67,0.8971830985915493,0.7835915492957747,0.5583333333333333,0.4934589565445619,0.3456462284117028,67,33,637,73
196,0.64,0.8774647887323944,0.7587323943661972,0.5099601593625498,0.437097977198346,0.380282629106822,64,36,623,87
211,0.64,0.8774647887323944,0.7587323943661972,0.5099601593625498,0.437097977198346,0.380282629106822,64,36,623,87
226,0.61,0.8943661971830986,0.7521830985915493,0.5169491525423728,0.4438903913552476,0.4040525959544871,61,39,635,75
241,0.6,0.8971830985915493,0.7485915492957746,0.5150214592274678,0.4414945798617307,0.4130028029145021,60,40,637,73
256,0.69,0.904225352112676,0.7971126760563381,0.5822784810126582,0.5214498361526906,0.3244576754800862,69,31,642,68
