k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.74,0.6887323943661972,0.7143661971830986,0.3746835443037974,0.2930898989888613,0.4055706132315316,74,26,489,221
16,0.69,0.8253521126760563,0.7576760563380281,0.4709897610921502,0.3979348715524161,0.3558115857398645,69,31,586,124
31,0.66,0.8549295774647887,0.7574647887323944,0.4907063197026022,0.4168738427344024,0.3696558230226391,66,34,607,103
46,0.76,0.8802816901408451,0.8201408450704226,0.5823754789272031,0.5277946341292824,0.2682022999818096,76,24,625,85
61,0.7,0.8830985915492958,0.7915492957746479,0.5533596837944664,0.4900526777042734,0.3219719542099256,70,30,627,83
76,0.67,0.8985915492957747,0.7842957746478874,0.5606694560669456,0.4960905049646784,0.3452298855461839,67,33,638,72
91,0.67,0.8845070422535212,0.7772535211267606,0.5381526104417671,0.4708064201661182,0.3496264053086235,67,33,628,82
106,0.67,0.8859154929577465,0.7779577464788733,0.5403225806451613,0.4732363538850153,0.3491636790204186,67,33,629,81
121,0.64,0.904225352112676,0.772112676056338,0.5517241379310345,0.4847369555097368,0.3725221915241303,64,36,642,68
136,0.68,0.8887323943661972,0.7843661971830986,0.5506072874493927,0.4854245186889351,0.3387926800618328,68,32,631,79
151,0.65,0.9014084507042254,0.7757042253521127,0.5531914893617021,0.4867251878120796,0.3636210851869582,65,35,640,70
166,0.68,0.8929577464788733,0.7864788732394367,0.5573770491803278,0.4929846640103238,0.3374285762037369,68,32,634,76
181,0.7,0.9,0.8,0.5809128630705395,0.5205444369399401,0.3162277660168379,70,30,639,71
196,0.67,0.9154929577464788,0.7927464788732395,0.5903083700440529,0.5297105684954524,0.3406485581804778,67,33,650,60
211,0.66,0.8943661971830986,0.7771830985915493,0.5477178423236515,0.4809537332853532,0.3560316001390325,66,34,635,75
226,0.68,0.9140845070422536,0.7970422535211268,0.5938864628820961,0.5340832895552494,0.3313328717923601,68,32,649,61
241,0.66,0.9140845070422536,0.7870422535211268,0.5814977973568282,0.5193890491189473,0.3506871425218959,66,34,649,61
256,0.62,0.9098591549295776,0.7649295774647887,0.5486725663716814,0.4809238259414363,0.3905449678974367,62,38,646,64
