k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.5,0.7718309859154929,0.6359154929577464,0.3205128205128205,0.2034274767082158,0.5496008542463303,50,50,548,162
16,0.62,0.7943661971830986,0.7071830985915493,0.4025974025974026,0.3120208250760968,0.4320708979565046,62,38,564,146
31,0.6,0.8154929577464789,0.7077464788732395,0.4123711340206185,0.3219814363941581,0.4405029496395485,60,40,579,131
46,0.61,0.8042253521126761,0.707112676056338,0.4066666666666667,0.3159991648364379,0.4363802387315513,61,39,571,139
61,0.66,0.8267605633802817,0.7433802816901409,0.4567474048442906,0.3785888831862666,0.3815912766302675,66,34,587,123
76,0.57,0.8183098591549296,0.6941549295774647,0.3986013986013986,0.303709813281125,0.4668097120672422,56,44,581,129
91,0.6,0.8295774647887324,0.7147887323943662,0.4270462633451957,0.3392392191007066,0.4347917208363514,60,40,589,121
106,0.57,0.8323943661971831,0.7011971830985915,0.4130434782608695,0.3209815745919651,0.4615101824255279,56,44,591,119
121,0.6,0.819718309859155,0.7098591549295774,0.4166666666666667,0.3270491108412557,0.4387499148718318,60,40,582,128
136,0.64,0.8352112676056338,0.737605633802817,0.4555160142348754,0.3752764345068144,0.3959233844118607,64,36,593,117
151,0.57,0.8338028169014085,0.7019014084507043,0.4145454545454545,0.3227696056288149,0.4610005462794017,56,44,592,118
166,0.63,0.8464788732394366,0.7382394366197182,0.4632352941176471,0.3832642053915956,0.40058549195126,63,37,601,109
181,0.63,0.8591549295774648,0.7445774647887324,0.4790874524714829,0.4013559137259571,0.3959006616088547,63,37,610,100
196,0.61,0.8380281690140845,0.7240140845070422,0.4420289855072464,0.3573827052072247,0.4222971395036083,61,39,595,115
211,0.61,0.8394366197183099,0.724718309859155,0.4436363636363636,0.3592458359126433,0.4217589348045666,61,39,596,114
226,0.67,0.8366197183098592,0.7533098591549297,0.4734982332155477,0.3985216760775217,0.3682297060873141,67,33,594,116
241,0.65,0.8535211267605634,0.7517605633802817,0.483271375464684,0.407637852236184,0.3794154191720401,65,35,606,104
256,0.6,0.8436619718309859,0.721830985915493,0.4428044280442804,0.3576291373781747,0.4294666215805082,60,40,599,111
