k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.58,0.7577464788732394,0.6688732394366197,0.3515151515151515,0.2464007864264566,0.4848574723548291,57,43,538,172
16,0.57,0.7507042253521127,0.6603521126760563,0.3413173652694611,0.2327633965082629,0.4970396194040172,56,44,533,177
31,0.53,0.7605633802816901,0.6452816901408451,0.3281733746130031,0.213992509354227,0.5274750182351109,53,47,540,170
46,0.62,0.7985915492957747,0.7092957746478874,0.4065573770491803,0.3167123603051988,0.4300759979527762,62,38,567,143
61,0.58,0.8126760563380282,0.6963380281690141,0.3986254295532646,0.3042997439548857,0.4598807017793567,57,43,577,133
76,0.57,0.8267605633802817,0.6983802816901408,0.4071428571428571,0.3139432467390216,0.4635859169564121,56,44,587,123
91,0.59,0.8267605633802817,0.7083802816901408,0.4184397163120567,0.3284734522505619,0.4450976324362076,59,41,587,123
106,0.59,0.8450704225352113,0.7175352112676057,0.4386617100371747,0.3522219092468733,0.4382957608435404,59,41,600,110
121,0.62,0.8464788732394366,0.7332394366197184,0.4575645756457565,0.3760214930147666,0.4098398911304669,62,38,601,109
136,0.61,0.8436619718309859,0.7268309859154929,0.4485294117647059,0.3649110273622021,0.420168512684822,61,39,599,111
151,0.56,0.8535211267605634,0.7067605633802817,0.4307692307692308,0.3416726430609441,0.4637413722167722,56,44,606,104
166,0.57,0.8704225352112676,0.7202112676056338,0.4578313253012048,0.3739425135533278,0.44909945377508,56,44,618,92
181,0.65,0.8661971830985915,0.7580985915492957,0.5,0.4265089362460355,0.374704141704828,65,35,615,95
196,0.62,0.8577464788732394,0.7388732394366198,0.4714828897338403,0.3919951797749629,0.4057536990256056,62,38,609,101
211,0.58,0.8760563380281691,0.7280281690140845,0.4715447154471545,0.3902898009787879,0.4379064184765822,57,43,622,88
226,0.62,0.8774647887323944,0.7487323943661972,0.4979919678714859,0.422374466859723,0.3992679275879753,62,38,623,87
241,0.57,0.8647887323943662,0.7173943661971831,0.4505928853754941,0.3654088444620996,0.4507572371992738,56,44,614,96
256,0.65,0.8732394366197183,0.7616197183098592,0.5098039215686274,0.4375655726191416,0.3722475526158452,65,35,620,90
