k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.54,0.7408450704225352,0.6404225352112676,0.3195266272189349,0.2028193967689382,0.5279784820656053,54,46,526,184
16,0.55,0.8070422535211268,0.6785211267605634,0.3767123287671233,0.27618744817509,0.4896250523882586,55,45,573,137
31,0.52,0.7943661971830986,0.6571830985915493,0.348993288590604,0.2406338445317735,0.5221927430182655,52,48,564,146
46,0.57,0.8042253521126761,0.687112676056338,0.3851351351351351,0.287441955527134,0.4724698008925075,56,44,571,139
61,0.58,0.8309859154929577,0.7054929577464788,0.4172661870503597,0.3265032983559768,0.4527314444146261,57,43,590,120
76,0.57,0.8394366197183099,0.704718309859155,0.4206642066420664,0.330040603923287,0.4589995632759172,56,44,596,114
91,0.52,0.8394366197183099,0.6797183098591549,0.3909774436090225,0.2929237045843705,0.5061428643056055,52,48,596,114
106,0.55,0.8352112676056338,0.6926056338028169,0.4044117647058823,0.3098514932740213,0.47922367045477,55,45,593,117
121,0.54,0.847887323943662,0.693943661971831,0.4122137404580153,0.3189993156423407,0.4844979527480177,54,46,602,108
136,0.57,0.8436619718309859,0.7068309859154929,0.4253731343283582,0.3356236972248673,0.4575386093563858,56,44,599,111
151,0.55,0.8619718309859155,0.7059859154929577,0.4347826086956521,0.3462328701171497,0.4706928674214011,55,45,612,98
166,0.55,0.8661971830985915,0.7080985915492958,0.44,0.3524607114800228,0.4694711852827091,55,45,615,95
181,0.56,0.8549295774647887,0.7074647887323944,0.4324324324324324,0.3436485467776769,0.4632984216404635,56,44,607,103
196,0.59,0.8661971830985915,0.7280985915492957,0.4645669291338583,0.3824454456935949,0.43128087577674,59,41,615,95
211,0.58,0.8577464788732394,0.7188732394366197,0.4478764478764478,0.3625457173744127,0.4434366519278281,57,43,609,101
226,0.6,0.8535211267605634,0.7267605633802816,0.4545454545454545,0.3712688512848884,0.4259765959597956,60,40,606,104
241,0.58,0.8492957746478873,0.7146478873239437,0.4377358490566038,0.3506420194510672,0.4462194118805012,57,43,603,107
256,0.58,0.8605633802816901,0.7202816901408451,0.4513618677042801,0.3666326629164189,0.4425410386828193,57,43,611,99
