k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.71,0.7014084507042253,0.7057042253521126,0.370757180156658,0.2838597769964883,0.4162414122968197,71,29,498,212
6,0.71,0.7788732394366197,0.7444366197183099,0.4329268292682927,0.3575991875995013,0.3646875981401815,71,29,553,157
11,0.68,0.780281690140845,0.7301408450704225,0.419753086419753,0.3385166670928384,0.3881702405998734,68,32,554,156
16,0.66,0.7943661971830986,0.7271830985915493,0.4230769230769231,0.3400295543319711,0.3973477832591245,66,34,564,146
21,0.59,0.8154929577464789,0.7027464788732394,0.4068965517241379,0.3148037124373788,0.4496029900269154,59,41,579,131
26,0.69,0.8014084507042254,0.7457042253521127,0.4451612903225806,0.368881200442963,0.3681556782825658,69,31,569,141
31,0.63,0.8112676056338028,0.7206338028169015,0.4242424242424242,0.3383513161506693,0.4153551693228312,63,37,576,134
36,0.67,0.8154929577464789,0.7427464788732394,0.4496644295302013,0.3716240421599566,0.3780778341044904,67,33,579,131
41,0.66,0.8112676056338028,0.7356338028169014,0.44,0.3595148607761718,0.3888700511523068,66,34,576,134
46,0.62,0.8183098591549296,0.7191549295774649,0.4261168384879725,0.3396631288334306,0.4212022166137086,62,38,581,129
51,0.64,0.8140845070422535,0.7270422535211267,0.4324324324324324,0.3487816577416183,0.4051722726467371,64,36,578,132
56,0.65,0.8253521126760563,0.7376760563380282,0.4498269896193771,0.3697157062365885,0.3911545532736605,65,35,586,124
61,0.65,0.8211267605633803,0.7355633802816901,0.4452054794520548,0.3644366919706809,0.3930593285835489,65,35,583,127
66,0.64,0.8183098591549296,0.7291549295774649,0.4368600682593856,0.353889060407642,0.4032509234711081,64,36,581,129
71,0.63,0.8211267605633803,0.7255633802816901,0.4344827586206896,0.3502314313778827,0.4109691421342365,63,37,583,127
76,0.64,0.8183098591549296,0.7291549295774649,0.4368600682593856,0.353889060407642,0.4032509234711081,64,36,581,129
81,0.63,0.8253521126760563,0.7276760563380282,0.4390243902439024,0.3554771615030334,0.4091477539309203,63,37,586,124
86,0.64,0.8366197183098592,0.7383098591549295,0.4571428571428571,0.3771331015139685,0.3953392422276718,64,36,594,116
91,0.68,0.8352112676056338,0.757605633802817,0.4771929824561403,0.4037277987899736,0.3599379478801061,68,32,593,117
96,0.69,0.8394366197183099,0.7647183098591549,0.4876325088339223,0.4164701085280523,0.3491140201817777,69,31,596,114
101,0.71,0.8295774647887324,0.7697887323943662,0.4863013698630137,0.4173862382480355,0.3363686080891553,71,29,589,121
106,0.7,0.8253521126760563,0.7626760563380282,0.4761904761904761,0.4049379094299693,0.3471338136032226,70,30,586,124
111,0.7,0.828169014084507,0.7640845070422535,0.4794520547945205,0.4085613138684764,0.3457251621168039,70,30,588,122
116,0.7,0.8323943661971831,0.7661971830985915,0.4844290657439446,0.4140815909849791,0.3436446543778093,70,30,591,119
121,0.68,0.8394366197183099,0.7597183098591549,0.4822695035460992,0.4093984764785645,0.3580231823324889,68,32,596,114
126,0.67,0.8507042253521127,0.7603521126760564,0.4908424908424908,0.4179530592885685,0.3622005360676772,67,33,604,106
131,0.68,0.847887323943662,0.763943661971831,0.4927536231884058,0.421084683783929,0.3543137962555514,68,32,602,108
136,0.67,0.8507042253521127,0.7603521126760564,0.4908424908424908,0.4179530592885685,0.3622005360676772,67,33,604,106
141,0.66,0.8436619718309859,0.751830985915493,0.4765342960288808,0.4009404260881969,0.3742212968976718,66,34,599,111
146,0.68,0.8436619718309859,0.761830985915493,0.4874551971326165,0.4151824773533252,0.3561482543152154,68,32,599,111
151,0.65,0.8492957746478873,0.7496478873239436,0.4779411764705882,0.4016173834209893,0.3810666129943429,65,35,603,107
156,0.65,0.8535211267605634,0.7517605633802817,0.483271375464684,0.407637852236184,0.3794154191720401,65,35,606,104
161,0.64,0.8619718309859155,0.7509859154929577,0.4885496183206106,0.4128226437724409,0.3855538554357623,64,36,612,98
166,0.65,0.852112676056338,0.751056338028169,0.4814814814814814,0.4056167791404816,0.379961393543104,65,35,605,105
171,0.63,0.8577464788732394,0.7438732394366196,0.4772727272727273,0.3992869664594934,0.3964039155620965,63,37,609,101
176,0.62,0.852112676056338,0.736056338028169,0.4644194756554307,0.3838938135905996,0.4077629956031047,62,38,605,105
181,0.62,0.8436619718309859,0.731830985915493,0.4542124542124542,0.3721670195233886,0.4109033694821392,62,38,599,111
186,0.63,0.856338028169014,0.7431690140845071,0.4754716981132075,0.3972332326655299,0.3969115293744527,63,37,608,102
191,0.63,0.856338028169014,0.7431690140845071,0.4754716981132075,0.3972332326655299,0.3969115293744527,63,37,608,102
196,0.62,0.8605633802816901,0.7402816901408451,0.475095785440613,0.3961362278154666,0.4047747162539535,62,38,611,99
201,0.61,0.8619718309859155,0.7359859154929578,0.471042471042471,0.3908914732695164,0.4137049376565147,61,39,612,98
206,0.62,0.8676056338028169,0.7438028169014084,0.484375,0.4067679397985208,0.4024031165395639,62,38,616,94
211,0.63,0.8690140845070422,0.749507042253521,0.4921875,0.4162850406430269,0.3925013503894327,63,37,617,93
216,0.61,0.8619718309859155,0.7359859154929578,0.471042471042471,0.3908914732695164,0.4137049376565147,61,39,612,98
221,0.62,0.8774647887323944,0.7487323943661972,0.4979919678714859,0.422374466859723,0.3992679275879753,62,38,623,87
226,0.62,0.8718309859154929,0.7459154929577465,0.4901185770750988,0.4133487803244741,0.4010327869032588,62,38,619,91
231,0.61,0.8647887323943662,0.7373943661971831,0.4747081712062256,0.3951146760521893,0.4127736509123642,61,39,614,96
236,0.61,0.8704225352112676,0.7402112676056338,0.4822134387351778,0.4037607931519992,0.4109626739511451,61,39,618,92
241,0.63,0.8732394366197183,0.7516197183098592,0.4980237154150198,0.4229367674969491,0.3911115447394597,63,37,620,90
246,0.63,0.8690140845070422,0.749507042253521,0.4921875,0.4162850406430269,0.3925013503894327,63,37,617,93
251,0.62,0.8690140845070422,0.7445070422535212,0.4862745098039215,0.4089441906147132,0.4019419237371591,62,38,617,93
256,0.61,0.8690140845070422,0.739507042253521,0.4803149606299212,0.4015736217363125,0.4114089328849439,61,39,617,93
