k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.65,0.7408450704225352,0.6954225352112676,0.3724928366762177,0.2786459331707526,0.4355011797048324,65,35,526,184
6,0.68,0.7619718309859155,0.7209859154929578,0.4035608308605341,0.3195746197949501,0.3988200211175431,68,32,541,169
11,0.59,0.7859154929577464,0.6879577464788732,0.3794212218649517,0.2817505422715995,0.4625280274270141,59,41,558,152
16,0.62,0.8084507042253521,0.714225352112676,0.4161073825503356,0.3279606429505622,0.4255480380776811,62,38,574,136
21,0.64,0.8070422535211268,0.7235211267605635,0.4252491694352159,0.3404639026404122,0.4084515784351984,64,36,573,137
26,0.66,0.8408450704225352,0.7504225352112677,0.4731182795698925,0.3970922241711739,0.375406834792346,66,34,597,113
31,0.71,0.8549295774647887,0.7824647887323943,0.5182481751824818,0.4525017943095918,0.3242613567703447,71,29,607,103
36,0.74,0.8492957746478873,0.7946478873239436,0.5266903914590747,0.4653694730220841,0.3005191566921822,74,26,603,107
41,0.75,0.8507042253521127,0.8003521126760563,0.5338078291814946,0.4743787768736111,0.2911858999466024,75,25,604,106
46,0.69,0.8676056338028169,0.7788028169014084,0.5247148288973384,0.4575203174319217,0.3370879235462965,69,31,616,94
51,0.71,0.8718309859154929,0.7909154929577464,0.5419847328244275,0.478498973463511,0.3170603983019553,71,29,619,91
56,0.73,0.8760563380281691,0.8030281690140846,0.5593869731800766,0.4995821184906076,0.2970892649406698,73,27,622,88
61,0.72,0.8788732394366198,0.7994366197183098,0.5581395348837209,0.4971778135978115,0.305076534863923,72,28,624,86
66,0.72,0.8788732394366198,0.7994366197183098,0.5581395348837209,0.4971778135978115,0.305076534863923,72,28,624,86
71,0.72,0.8774647887323944,0.7987323943661973,0.555984555984556,0.4948259115515633,0.3056384759816681,72,28,623,87
76,0.71,0.8788732394366198,0.7944366197183099,0.5525291828793775,0.4900547198380906,0.3142796400096234,71,29,624,86
81,0.7,0.8816901408450705,0.7908450704225352,0.5511811023622047,0.4876504139285418,0.3224860039959242,70,30,626,84
86,0.69,0.8788732394366198,0.7844366197183099,0.5411764705882353,0.4757274152917127,0.3328238154408102,69,31,624,86
91,0.69,0.8774647887323944,0.7837323943661971,0.5390625,0.4733876457100636,0.3333389836193732,69,31,623,87
96,0.7,0.8873239436619719,0.7936619718309859,0.56,0.4973811055403366,0.3204620003555656,70,30,630,80
101,0.68,0.8915492957746479,0.785774647887324,0.5551020408163265,0.4904424401646973,0.3378780182950272,68,32,633,77
106,0.67,0.8915492957746479,0.780774647887324,0.5491803278688525,0.4831685976915342,0.3473637218348726,67,33,633,77
111,0.66,0.8985915492957747,0.7792957746478874,0.5546218487394958,0.48876416364477,0.3548008932827414,66,34,638,72
116,0.68,0.8985915492957747,0.7892957746478874,0.5666666666666667,0.5033845029761759,0.3356838898044278,68,32,638,72
121,0.69,0.9028169014084508,0.7964084507042253,0.5798319327731093,0.5187111358499337,0.3248762143522588,69,31,641,69
126,0.67,0.8985915492957747,0.7842957746478874,0.5606694560669456,0.4960905049646784,0.3452298855461839,67,33,638,72
131,0.68,0.895774647887324,0.787887323943662,0.5619834710743802,0.4981375831623341,0.3365455749568121,68,32,636,74
136,0.66,0.8887323943661972,0.7743661971830986,0.5387755102040817,0.4708634171714295,0.3577435954192324,66,34,631,79
141,0.65,0.8901408450704226,0.7700704225352113,0.5349794238683128,0.4660207540295618,0.3668365220664933,65,35,632,78
146,0.66,0.8901408450704226,0.7750704225352113,0.5409836065573771,0.4733525313727446,0.3573080378634671,66,34,632,78
151,0.66,0.8873239436619719,0.773661971830986,0.5365853658536586,0.4683959748621278,0.358184161670907,66,34,630,80
156,0.66,0.8887323943661972,0.7743661971830986,0.5387755102040817,0.4708634171714295,0.3577435954192324,66,34,631,79
161,0.65,0.8901408450704226,0.7700704225352113,0.5349794238683128,0.4660207540295618,0.3668365220664933,65,35,632,78
166,0.64,0.8887323943661972,0.7643661971830986,0.5267489711934157,0.4561778124190287,0.3768029724716611,64,36,631,79
171,0.68,0.895774647887324,0.787887323943662,0.5619834710743802,0.4981375831623341,0.3365455749568121,68,32,636,74
176,0.68,0.8985915492957747,0.7892957746478874,0.5666666666666667,0.5033845029761759,0.3356838898044278,68,32,638,72
181,0.69,0.895774647887324,0.792887323943662,0.5679012345679012,0.5053925204716943,0.3270518674813084,69,31,636,74
186,0.68,0.8971830985915493,0.7885915492957747,0.5643153526970954,0.5007490851126467,0.3361120575273,68,32,637,73
191,0.72,0.8901408450704226,0.8050704225352112,0.576,0.5167038247483785,0.3007807073630902,72,28,632,78
196,0.71,0.8915492957746479,0.8007746478873239,0.5725806451612904,0.5120832195193565,0.3096151728306848,71,29,633,77
