k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.68,0.7338028169014085,0.7069014084507043,0.3809523809523809,0.2924781922521393,0.4162462495802514,68,32,521,189
6,0.69,0.7845070422535211,0.7372535211267606,0.4285714285714285,0.3499505547936749,0.3775410108032315,69,31,557,153
11,0.67,0.795774647887324,0.732887323943662,0.4294871794871794,0.3485671841834558,0.3880824583069253,67,33,565,145
16,0.65,0.8084507042253521,0.7292253521126761,0.4318936877076412,0.3491524899478708,0.398987634785545,65,35,574,136
21,0.66,0.795774647887324,0.7278873239436621,0.4244372990353697,0.341605378340538,0.3966207186287001,66,34,565,145
26,0.61,0.8394366197183099,0.724718309859155,0.4436363636363636,0.3592458359126433,0.4217589348045666,61,39,596,114
31,0.69,0.8450704225352113,0.7675352112676056,0.4946236559139785,0.4242276039444009,0.3465590483213762,69,31,600,110
36,0.7,0.8450704225352113,0.7725352112676056,0.5,0.4312958341782086,0.3376435605389476,70,30,600,110
41,0.68,0.8619718309859155,0.7709859154929577,0.5112781954887218,0.4416811971946152,0.3484993191404836,68,32,612,98
46,0.68,0.8633802816901408,0.7716901408450705,0.5132075471698113,0.4438244458799926,0.3479438854629655,68,32,613,97
51,0.69,0.8661971830985915,0.7780985915492957,0.5227272727272727,0.4553231968087033,0.3376435899150936,69,31,615,95
56,0.7,0.8690140845070422,0.7845070422535211,0.532319391634981,0.4668810513829158,0.3273489118013504,70,30,617,93
61,0.69,0.8690140845070422,0.7795070422535211,0.5267175572519084,0.459734307837491,0.3365372342810351,69,31,617,93
66,0.7,0.8704225352112676,0.7852112676056338,0.5343511450381679,0.469116640650501,0.3267878813252952,70,30,618,92
71,0.69,0.8774647887323944,0.7837323943661971,0.5390625,0.4733876457100636,0.3333389836193732,69,31,623,87
76,0.73,0.8732394366197183,0.8016197183098591,0.5551330798479087,0.4949632532358981,0.29827544389119,73,27,620,90
81,0.73,0.8816901408450705,0.8058450704225353,0.5680933852140078,0.5090427285952709,0.2947833488738115,73,27,626,84
86,0.72,0.8732394366197183,0.7966197183098591,0.549618320610687,0.487881306276521,0.307356861690912,72,28,620,90
91,0.71,0.8774647887323944,0.7937323943661971,0.5503875968992248,0.4877066464055672,0.3148251546500005,71,29,623,87
96,0.69,0.8704225352112676,0.7802112676056338,0.5287356321839081,0.4619654309723745,0.3359915465916891,69,31,618,92
101,0.66,0.8718309859154929,0.7659154929577465,0.5136186770428015,0.4425846979451399,0.3633556056694248,66,34,619,91
106,0.62,0.8845070422535212,0.7522535211267606,0.5081967213114754,0.4340882660975861,0.3971632199600435,62,38,628,82
111,0.64,0.8873239436619719,0.7636619718309859,0.5245901639344263,0.4537203987351653,0.377221279452645,64,36,630,80
116,0.65,0.8873239436619719,0.768661971830986,0.5306122448979592,0.4610739056747955,0.3676899423045053,65,35,630,80
121,0.66,0.8873239436619719,0.773661971830986,0.5365853658536586,0.4683959748621278,0.358184161670907,66,34,630,80
126,0.62,0.8929577464788733,0.7564788732394366,0.5210084033613446,0.4488348673712184,0.3947886067744118,62,38,634,76
131,0.63,0.8859154929577465,0.7579577464788733,0.5163934426229508,0.4439043324163757,0.3871889393397931,63,37,629,81
136,0.61,0.8859154929577465,0.7479577464788733,0.5041322314049587,0.4290465827579692,0.4063437888624286,61,39,629,81
141,0.61,0.8873239436619719,0.7486619718309859,0.5062240663900415,0.4314653537171194,0.4059506049655432,61,39,630,80
146,0.64,0.8830985915492958,0.7615492957746479,0.5182186234817814,0.4464751516618883,0.3785048735455837,64,36,627,83
151,0.61,0.8887323943661972,0.7493661971830986,0.5083333333333333,0.433905677954878,0.4055619312305822,61,39,631,79
156,0.64,0.8887323943661972,0.7643661971830986,0.5267489711934157,0.4561778124190287,0.3768029724716611,64,36,631,79
161,0.65,0.8802816901408451,0.7651408450704226,0.52,0.449074307520232,0.3699087370089177,65,35,625,85
166,0.67,0.8802816901408451,0.7751408450704226,0.5317460317460317,0.4636385042595222,0.3510448314895586,67,33,625,85
171,0.64,0.8845070422535212,0.7622535211267606,0.5203252032520326,0.4488694313912929,0.3780722461237136,64,36,628,82
176,0.61,0.8816901408450705,0.7458450704225352,0.4979591836734693,0.4219158596882598,0.4075502702406898,61,39,626,84
181,0.65,0.8802816901408451,0.7651408450704226,0.52,0.449074307520232,0.3699087370089177,65,35,625,85
186,0.66,0.8802816901408451,0.7701408450704226,0.5258964143426295,0.4563712140807989,0.3604614732749293,66,34,625,85
191,0.63,0.8774647887323944,0.7537323943661972,0.504,0.4297515883121902,0.389762591843287,63,37,623,87
196,0.63,0.8830985915492958,0.7565492957746479,0.5121951219512195,0.4391061596558754,0.3880282712609461,63,37,627,83
201,0.62,0.8845070422535212,0.7522535211267606,0.5081967213114754,0.4340882660975861,0.3971632199600435,62,38,628,82
206,0.63,0.8915492957746479,0.760774647887324,0.525,0.453756770818106,0.3855665380281006,63,37,633,77
211,0.62,0.8845070422535212,0.7522535211267606,0.5081967213114754,0.4340882660975861,0.3971632199600435,62,38,628,82
216,0.59,0.8915492957746479,0.740774647887324,0.5,0.4238093404198803,0.4241008786208475,59,41,633,77
221,0.58,0.8901408450704226,0.7350704225352113,0.4915254237288136,0.4137688149521967,0.4341302038810948,57,43,632,78
226,0.61,0.895774647887324,0.752887323943662,0.5191489361702127,0.4464444826138385,0.4036866656492524,61,39,636,74
231,0.6,0.9014084507042254,0.7507042253521127,0.5217391304347826,0.4493602899601881,0.4119712290834654,60,40,640,70
236,0.59,0.904225352112676,0.747112676056338,0.5198237885462555,0.4471384134834117,0.4210377455501358,59,41,642,68
241,0.58,0.9,0.74,0.5065502183406113,0.4315210646762186,0.4317406628984581,57,43,639,71
246,0.58,0.9014084507042254,0.7407042253521127,0.5087719298245614,0.4341559045894704,0.4314166125597636,57,43,640,70
251,0.62,0.9,0.76,0.5321888412017167,0.4617558042066599,0.39293765408777,62,38,639,71
256,0.62,0.904225352112676,0.762112676056338,0.5391304347826087,0.4698087076493877,0.3918836347411574,62,38,642,68
