k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.55,0.6957746478873239,0.622887323943662,0.2964959568733153,0.1713512310489662,0.5431878725340632,55,45,494,216
6,0.61,0.7563380281690141,0.683169014084507,0.3652694610778443,0.2658838798058814,0.4598599314101677,61,39,537,173
11,0.6,0.7563380281690141,0.678169014084507,0.3603603603603603,0.2589557028614757,0.46837074686253,60,40,537,173
16,0.66,0.776056338028169,0.7180281690140845,0.4061538461538461,0.3202599161116207,0.4071249976817362,66,34,551,159
21,0.67,0.8,0.7350000000000001,0.4336569579288026,0.3533594035915624,0.3858756276314947,67,33,568,142
26,0.62,0.7985915492957747,0.7092957746478874,0.4065573770491803,0.3167123603051988,0.4300759979527762,62,38,567,143
31,0.61,0.795774647887324,0.7028873239436619,0.3986928104575163,0.3065222497377225,0.4402362938758531,61,39,565,145
36,0.61,0.7985915492957747,0.7042957746478873,0.4013157894736842,0.3096472010073475,0.4389366287006319,61,39,567,143
41,0.63,0.7985915492957747,0.7142957746478873,0.4117647058823529,0.3237581416007947,0.4212663813017558,63,37,567,143
46,0.64,0.8042253521126761,0.7221126760563381,0.4224422442244224,0.337202006450197,0.4097898397415505,64,36,571,139
51,0.64,0.8183098591549296,0.7291549295774649,0.4368600682593856,0.353889060407642,0.4032509234711081,64,36,581,129
56,0.63,0.8338028169014085,0.7319014084507043,0.4483985765124555,0.3662671306552875,0.4056125043312974,63,37,592,118
61,0.65,0.828169014084507,0.7390845070422536,0.4529616724738676,0.3732895030321059,0.3899049726801266,65,35,588,122
66,0.65,0.8253521126760563,0.7376760563380282,0.4498269896193771,0.3697157062365885,0.3911545532736605,65,35,586,124
71,0.65,0.8352112676056338,0.7426056338028169,0.4609929078014184,0.3824234684025636,0.3868531069077021,65,35,593,117
76,0.66,0.8323943661971831,0.7461971830985916,0.4631578947368421,0.3858481095051252,0.3790668126893252,66,34,591,119
81,0.65,0.8352112676056338,0.7426056338028169,0.4609929078014184,0.3824234684025636,0.3868531069077021,65,35,593,117
86,0.63,0.8394366197183099,0.734718309859155,0.4548736462093863,0.3736953132415997,0.4033368308095389,63,37,596,114
