k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.63,0.6830985915492958,0.6565492957746479,0.3247422680412371,0.2151685498782909,0.4871616802233526,63,37,485,225
6,0.61,0.7014084507042253,0.6557042253521126,0.3270777479892761,0.2167160627097493,0.4911791051244454,61,39,498,212
11,0.67,0.7014084507042253,0.6857042253521126,0.3535620052770448,0.2571174742704213,0.4450358562080712,67,33,498,212
16,0.68,0.7028169014084507,0.6914084507042253,0.3588390501319261,0.2650152806473285,0.4367124844660094,68,32,499,211
21,0.65,0.7154929577464789,0.6827464788732395,0.3542234332425068,0.255771789694086,0.4510479543151114,65,35,508,202
26,0.72,0.7366197183098592,0.7283098591549295,0.4011142061281337,0.3220758448541616,0.3844075607778519,72,28,523,187
31,0.71,0.7323943661971831,0.7211971830985915,0.3933518005540166,0.3114098434121335,0.3946045808692638,71,29,520,190
36,0.71,0.7492957746478873,0.7296478873239436,0.4068767908309456,0.3274466263314681,0.3833439820962407,71,29,532,178
41,0.69,0.752112676056338,0.7210563380281689,0.4,0.3166320518362219,0.3969233242982201,69,31,534,176
46,0.72,0.7774647887323943,0.7487323943661972,0.4363636363636363,0.3629222592403023,0.3576617399917384,72,28,552,158
51,0.72,0.780281690140845,0.7501408450704226,0.4390243902439024,0.3659441988917973,0.3559159109780899,72,28,554,156
56,0.7,0.7788732394366197,0.7394366197183098,0.4281345565749235,0.3507539226942547,0.3726889376373473,70,30,553,157
61,0.7,0.7943661971830986,0.7471830985915493,0.4430379746835443,0.3677543716244739,0.3637104079634514,70,30,564,146
66,0.73,0.7971830985915493,0.7635915492957747,0.4605678233438486,0.3915916648605574,0.3376902360106451,73,27,566,144
71,0.73,0.8098591549295775,0.7699295774647887,0.474025974025974,0.406517954628375,0.3302325558816005,73,27,575,135
76,0.71,0.8154929577464789,0.7627464788732394,0.4701986754966887,0.3995476681057308,0.3437191420929923,71,29,579,131
81,0.65,0.8140845070422535,0.7320422535211268,0.4377104377104377,0.3558466602989005,0.3963137273950043,65,35,578,132
86,0.65,0.8126760563380282,0.731338028169014,0.436241610738255,0.3541586824761989,0.3969763971183596,65,35,577,133
91,0.65,0.8154929577464789,0.7327464788732394,0.4391891891891892,0.3575444723436875,0.39565496160309,65,35,579,131
96,0.67,0.8169014084507042,0.7434507042253522,0.4511784511784512,0.3733420044471318,0.3773924936022652,67,33,580,130
101,0.66,0.8211267605633803,0.7405633802816902,0.4505119453924914,0.3715073848655516,0.384181774407051,66,34,583,127
106,0.66,0.8309859154929577,0.7454929577464788,0.4615384615384615,0.3840161077613355,0.3796916653835762,66,34,590,120
111,0.64,0.8225352112676056,0.7312676056338028,0.4413793103448276,0.3590883611130087,0.4013648604945796,64,36,584,126
116,0.65,0.8338028169014085,0.7419014084507043,0.4593639575971731,0.3805732436269911,0.3874551634317276,65,35,592,118
121,0.64,0.8366197183098592,0.7383098591549295,0.4571428571428571,0.3771331015139685,0.3953392422276718,64,36,594,116
126,0.64,0.8380281690140845,0.7390140845070423,0.4587813620071684,0.3790019709890225,0.3947592608577156,64,36,595,115
131,0.63,0.8366197183098592,0.7333098591549296,0.4516129032258064,0.3699568443979468,0.4044664589865886,63,37,594,116
136,0.66,0.8464788732394366,0.7532394366197184,0.48,0.4048411237674288,0.3730532620978309,66,34,601,109
141,0.65,0.8436619718309859,0.7468309859154929,0.4710144927536231,0.3937838358224844,0.3833295958464144,65,35,599,111
146,0.65,0.8422535211267606,0.7461267605633803,0.4693140794223827,0.3918587218059979,0.3839061755128528,65,35,598,112
151,0.64,0.8422535211267606,0.7411267605633802,0.463768115942029,0.3846835531686695,0.393044465165082,64,36,598,112
156,0.64,0.8436619718309859,0.741830985915493,0.4654545454545454,0.3866030086255146,0.3924813104490141,64,36,599,111
