k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.58,0.6943661971830986,0.6371830985915492,0.3093333333333333,0.1905972105256656,0.5194343283075548,57,43,493,217
6,0.57,0.7492957746478873,0.6596478873239436,0.3402985074626866,0.2314485649042676,0.4977475350108757,56,44,532,178
11,0.6,0.7563380281690141,0.678169014084507,0.3603603603603603,0.2589557028614757,0.46837074686253,60,40,537,173
16,0.58,0.7633802816901408,0.6716901408450704,0.3558282208588957,0.2518511184088356,0.4820673097120744,57,43,542,168
21,0.6,0.7732394366197183,0.6866197183098591,0.3738317757009345,0.2756531218433383,0.4598046901724065,60,40,549,161
26,0.61,0.7605633802816901,0.6852816901408451,0.3685800604229607,0.2699892061446846,0.45763511104605,61,39,540,170
31,0.6,0.7661971830985915,0.6830985915492958,0.3680981595092024,0.2685860983851405,0.4633182029567083,60,40,544,166
36,0.6,0.7830985915492957,0.6915492957746479,0.3821656050955414,0.28583125299986,0.4550233191693578,60,40,556,154
41,0.61,0.7873239436619718,0.6986619718309859,0.391025641025641,0.2973414050745476,0.4442196584343112,61,39,559,151
46,0.6,0.7915492957746478,0.6957746478873239,0.3896103896103896,0.2948395287938644,0.4510562005915064,60,40,562,148
51,0.61,0.8056338028169014,0.7078169014084508,0.4080267558528428,0.3176090668428492,0.4357501791249421,61,39,572,138
56,0.61,0.8042253521126761,0.707112676056338,0.4066666666666667,0.3159991648364379,0.4363802387315513,61,39,571,139
61,0.58,0.8070422535211268,0.6935211267605634,0.3932203389830508,0.2978054837014669,0.4622041669286476,57,43,573,137
66,0.59,0.8211267605633803,0.7055633802816901,0.4125874125874126,0.3215556564989496,0.447320506780709,59,41,583,127
71,0.59,0.8183098591549296,0.7041549295774647,0.4097222222222222,0.3181595209157048,0.4484543536195201,59,41,581,129
76,0.62,0.8183098591549296,0.7191549295774649,0.4261168384879725,0.3396631288334306,0.4212022166137086,62,38,581,129
81,0.62,0.8267605633802817,0.7233802816901409,0.4350877192982456,0.3500887309354282,0.4176265106531401,62,38,587,123
86,0.58,0.8267605633802817,0.7033802816901409,0.4128113879003559,0.3212206113976527,0.454325766824112,57,43,587,123
91,0.61,0.8323943661971831,0.7211971830985915,0.4357142857142857,0.3500517351818484,0.4244898685274408,61,39,591,119
96,0.61,0.8436619718309859,0.7268309859154929,0.4485294117647059,0.3649110273622021,0.420168512684822,61,39,599,111
101,0.63,0.8422535211267606,0.7361267605633803,0.4581818181818182,0.3774839510545575,0.4022237581209063,63,37,598,112
106,0.6,0.8436619718309859,0.721830985915493,0.4428044280442804,0.3576291373781747,0.4294666215805082,60,40,599,111
111,0.62,0.8450704225352113,0.7325352112676056,0.4558823529411764,0.3740876163768989,0.4103695578054224,62,38,600,110
116,0.62,0.8394366197183099,0.7297183098591549,0.4492753623188406,0.3664829878610396,0.4125295129896558,62,38,596,114
121,0.63,0.8436619718309859,0.7368309859154929,0.4598540145985401,0.3793975403298821,0.4016734731741386,63,37,599,111
126,0.63,0.847887323943662,0.738943661971831,0.4649446494464944,0.3852176708330625,0.40004782991165,63,37,602,108
131,0.65,0.8507042253521127,0.7503521126760564,0.4797047970479705,0.4036100264696544,0.3805117978824214,65,35,604,106
136,0.63,0.8492957746478873,0.7396478873239436,0.4666666666666667,0.3871848245203531,0.3995144096762723,63,37,603,107
