k,tn,fp,tp,fn,sensitivity,specificity,bacc,f1_score,mcc,composite_score
1,549,161,67,33,0.67,0.7732394366197183,0.7216197183098592,0.40853658536585363,0.3242191424303171,0.40040024113946626
16,608,102,65,35,0.65,0.856338028169014,0.7531690140845071,0.4868913857677903,0.4117238245400375,0.37833683689322
31,607,103,62,38,0.62,0.8549295774647887,0.7374647887323944,0.4679245283018868,0.38791499002263735,0.4067498340436597
46,616,94,61,39,0.61,0.8676056338028169,0.7388028169014085,0.47843137254901963,0.3994037299465704,0.4118595248391784
61,612,98,63,37,0.63,0.8619718309859155,0.7459859154929578,0.4827586206896552,0.4055403996950249,0.3949072998076646
76,620,90,63,37,0.63,0.8732394366197183,0.7516197183098592,0.4980237154150198,0.4229367674969491,0.39111154473945975
91,624,86,58,42,0.58,0.8788732394366198,0.7294366197183099,0.47540983606557374,0.3948240008224275,0.43711748091854946
106,616,94,65,35,0.65,0.8676056338028169,0.7588028169014085,0.5019305019305019,0.42868581446298804,0.3742035117429469
121,623,87,67,33,0.67,0.8774647887323944,0.7737323943661972,0.5275590551181102,0.45895814986446537,0.35201545136598295
136,629,81,63,37,0.63,0.8859154929577465,0.7579577464788733,0.5163934426229508,0.4439043324163757,0.3871889393397931
151,637,73,64,36,0.64,0.8971830985915493,0.7685915492957747,0.540084388185654,0.47139361817643094,0.374394598271977
166,641,69,64,36,0.64,0.9028169014084507,0.7714084507042254,0.5493562231759657,0.48201702855158923,0.37288678530065233
181,630,80,63,37,0.63,0.8873239436619719,0.7586619718309859,0.5185185185185185,0.4463348708084956,0.38677628375055584
196,641,69,66,34,0.66,0.9028169014084507,0.7814084507042254,0.5617021276595745,0.4967953641116399,0.3536163947724352
211,639,71,64,36,0.64,0.9,0.77,0.5446808510638298,0.4766550115125194,0.3736308338453881
226,645,65,64,36,0.64,0.9084507042253521,0.7742253521126761,0.5589519650655022,0.49305839960363707,0.3714583066197793
241,639,71,65,35,0.65,0.9,0.775,0.5508474576271186,0.4840524932259821,0.36400549446402586
256,650,60,62,38,0.62,0.9154929577464789,0.7677464788732394,0.5585585585585585,0.492502913179304,0.3892832390309637
