k,tn,fp,tp,fn,sensitivity,specificity,bacc,f1_score,mcc,composite_score
1,526,184,67,33,0.67,0.7408450704225352,0.7054225352112676,0.3817663817663818,0.29225670935862347,0.4195965651960234
16,624,86,68,32,0.68,0.8788732394366198,0.7794366197183099,0.5354330708661418,0.4685222378858242,0.34215740840230013
31,640,70,71,29,0.71,0.9014084507042254,0.8057042253521127,0.5892116182572614,0.5304421128535869,0.30630098529476063
46,649,61,72,28,0.72,0.9140845070422535,0.8170422535211268,0.6180257510729614,0.5630619259313064,0.29288474171621265
61,649,61,70,30,0.7,0.9140845070422535,0.8070422535211268,0.6060606060606061,0.5486391310717897,0.31206004539218507
76,652,58,68,32,0.68,0.9183098591549296,0.7991549295774648,0.6017699115044248,0.5430527412544448,0.3302624397525208
91,653,57,70,30,0.7,0.9197183098591549,0.8098591549295775,0.6167400881057269,0.5606751266249677,0.3105561942255712
106,656,54,63,37,0.63,0.923943661971831,0.7769718309859155,0.5806451612903226,0.5183644671603146,0.3777361070300999
121,655,55,68,32,0.68,0.9225352112676056,0.8012676056338028,0.6098654708520179,0.5523071705034773,0.3292427576930956
136,652,58,70,30,0.7,0.9183098591549296,0.8091549295774647,0.6140350877192983,0.5576197838349254,0.31092326884826016
151,657,53,71,29,0.71,0.9253521126760563,0.8176760563380281,0.6339285714285714,0.5804579347612402,0.29945334708753585
166,655,55,69,31,0.69,0.9225352112676056,0.8062676056338027,0.6160714285714286,0.5596124048496195,0.31953214782452566
181,652,58,70,30,0.7,0.9183098591549296,0.8091549295774647,0.6140350877192983,0.5576197838349254,0.31092326884826016
196,654,56,70,30,0.7,0.9211267605633803,0.8105633802816901,0.6194690265486725,0.5637623796921143,0.31019508039172117
211,656,54,71,29,0.71,0.923943661971831,0.8169718309859155,0.6311111111111111,0.5772707416812258,0.2998075491949046
226,651,59,70,30,0.7,0.9169014084507042,0.8084507042253521,0.611353711790393,0.5545957345310556,0.3112962831732443
241,655,55,72,28,0.72,0.9225352112676056,0.8212676056338029,0.6343612334801763,0.5813181653779778,0.2905181465818521
256,656,54,64,36,0.64,0.923943661971831,0.7819718309859155,0.5871559633027523,0.5258608554396573,0.36794641804786615
