k,tn,fp,tp,fn,sensitivity,specificity,bacc,f1_score,mcc,composite_score
1,497,213,72,28,0.72,0.7,0.71,0.37402597402597404,0.2893186187542978,0.4103656905736639
16,618,92,67,33,0.67,0.8704225352112676,0.7702112676056339,0.5173745173745173,0.4475829850597238,0.3545283054723207
31,635,75,70,30,0.7,0.8943661971830986,0.7971830985915493,0.5714285714285714,0.5100214631579651,0.31805424112493774
46,640,70,71,29,0.71,0.9014084507042254,0.8057042253521127,0.5892116182572614,0.5304421128535869,0.30630098529476063
61,653,57,70,30,0.7,0.9197183098591549,0.8098591549295775,0.6167400881057269,0.5606751266249677,0.3105561942255712
76,642,68,69,31,0.69,0.9042253521126761,0.7971126760563381,0.5822784810126582,0.5214498361526906,0.3244576754800862
91,648,62,69,31,0.69,0.9126760563380282,0.8013380281690141,0.5974025974025974,0.538446523361511,0.32206438973702023
106,650,60,69,31,0.69,0.9154929577464789,0.8027464788732395,0.6026200873362445,0.5443395120431525,0.3213120604497105
121,653,57,75,25,0.75,0.9197183098591549,0.8348591549295774,0.646551724137931,0.5965124801886125,0.26257408434929497
136,653,57,71,29,0.71,0.9197183098591549,0.8148591549295774,0.6228070175438597,0.5679084404387134,0.30090721123274977
151,653,57,69,31,0.69,0.9197183098591549,0.8048591549295774,0.6106194690265486,0.5534075604732795,0.3202267162056762
166,654,56,72,28,0.72,0.9211267605633803,0.8205633802816901,0.631578947368421,0.5781970970425012,0.2908968681495666
181,660,50,66,34,0.66,0.9295774647887324,0.7947887323943662,0.6111111111111112,0.5536831663002276,0.34721655125523926
196,655,55,71,29,0.71,0.9225352112676056,0.8162676056338027,0.6283185840707964,0.574117198910949,0.3001679421479824
211,654,56,71,29,0.71,0.9211267605633803,0.8155633802816902,0.6255506607929515,0.5709966460014727,0.3005345036750795
226,658,52,68,32,0.68,0.9267605633802817,0.8033802816901409,0.6181818181818182,0.5618641878468615,0.32827429853153856
241,657,53,70,30,0.7,0.9253521126760563,0.8126760563380282,0.6278026905829597,0.573222028292529,0.3091477107822864
256,661,49,68,32,0.68,0.9309859154929577,0.8054929577464789,0.6267281105990783,0.5717429592019946,0.3273575168838271
