k,tn,fp,tp,fn,sensitivity,specificity,bacc,f1_score,mcc,composite_score
1,505,205,50,50,0.5,0.7112676056338029,0.6056338028169015,0.28169014084507044,0.14963924314110733,0.5773789012047784
16,581,129,63,37,0.63,0.8183098591549296,0.7241549295774647,0.4315068493150685,0.3467868432115628,0.41220299280852085
31,594,116,61,39,0.61,0.8366197183098592,0.7233098591549296,0.4404332129963899,0.3555319046772015,0.42283935063467043
46,601,109,67,33,0.67,0.8464788732394366,0.7582394366197183,0.4855072463768116,0.41198440113011414,0.3639625480208547
61,620,90,64,36,0.64,0.8732394366197183,0.7566197183098591,0.5039370078740157,0.43026588580038894,0.38166508934992527
76,613,97,62,38,0.62,0.8633802816901408,0.7416901408450705,0.47876447876447875,0.40034005856788435,0.40381301047770274
91,618,92,63,37,0.63,0.8704225352112676,0.7502112676056338,0.49411764705882355,0.418484651282856,0.39203356920176513
106,617,93,63,37,0.63,0.8690140845070422,0.749507042253521,0.4921875,0.4162850406430269,0.39250135038943273
121,621,89,59,41,0.59,0.8746478873239436,0.7323239436619717,0.47580645161290325,0.3955426226163328,0.42873436082538424
136,626,84,60,40,0.6,0.8816901408450705,0.7408450704225352,0.4918032786885246,0.4144561334600068,0.41712974333324554
151,622,88,61,39,0.61,0.8760563380281691,0.7430281690140845,0.4899598393574297,0.412688076198444,0.4092212498673395
166,623,87,59,41,0.59,0.8774647887323944,0.7337323943661972,0.4796747967479675,0.4000530727142054,0.42791924238154655
181,632,78,63,37,0.63,0.8901408450704226,0.7600704225352113,0.5228215767634855,0.4512607055444129,0.38596506826634047
196,626,84,59,41,0.59,0.8816901408450705,0.7358450704225352,0.48559670781893005,0.4069631043663631,0.4267285117885367
211,634,76,64,36,0.64,0.8929577464788733,0.7664788732394366,0.5333333333333333,0.46368231724972,0.37557694822616733
226,637,73,65,35,0.65,0.8971830985915493,0.7735915492957747,0.5462184873949579,0.4787818395763821,0.3647894121479337
241,641,69,69,31,0.69,0.9028169014084507,0.7964084507042253,0.5798319327731093,0.5187111358499337,0.32487621435225883
256,629,81,67,33,0.67,0.8859154929577465,0.7779577464788733,0.5403225806451613,0.4732363538850153,0.34916367902041867
