k,tn,fp,tp,fn,sensitivity,specificity,bacc,f1_score,mcc,composite_score
1,518,192,58,42,0.58,0.7295774647887324,0.6547887323943662,0.3314285714285714,0.22046238221481457,0.49952812488396414
16,589,121,54,46,0.54,0.8295774647887324,0.6847887323943662,0.3927272727272727,0.2954124329159436,0.49055462540662653
31,603,107,58,42,0.58,0.8492957746478873,0.7146478873239437,0.4377358490566038,0.3506420194510672,0.44621941188050124
46,613,97,57,43,0.57,0.8633802816901408,0.7166901408450703,0.44881889763779526,0.3633172696508773,0.4511817232901454
61,631,79,59,41,0.59,0.8887323943661972,0.7393661971830986,0.4957983193277311,0.4188878951660548,0.424829942522275
76,628,82,57,43,0.57,0.8845070422535212,0.7272535211267606,0.4769874476987448,0.39655290055016523,0.4452399614691273
91,627,83,60,40,0.6,0.8830985915492958,0.7415492957746479,0.49382716049382713,0.41680604597689624,0.41673245529687075
106,627,83,63,37,0.63,0.8830985915492958,0.7565492957746479,0.5121951219512195,0.4391061596558754,0.3880282712609461
121,633,77,61,39,0.61,0.8915492957746479,0.750774647887324,0.5126050420168067,0.4388525433028306,0.4047981660617731
136,637,73,65,35,0.65,0.8971830985915493,0.7735915492957747,0.5462184873949579,0.4787818395763821,0.3647894121479337
151,639,71,62,38,0.62,0.9,0.76,0.5321888412017167,0.46175580420665996,0.39293765408777
166,634,76,61,39,0.61,0.8929577464788733,0.7514788732394366,0.5147679324894515,0.4413598873906751,0.4044231002785093
181,645,65,65,35,0.65,0.9084507042253521,0.7792253521126761,0.5652173913043478,0.5004813341831871,0.36177516990091224
196,654,56,62,38,0.62,0.9211267605633803,0.7705633802816901,0.5688073394495413,0.504584766882908,0.3880991985294821
211,646,64,62,38,0.62,0.9098591549295775,0.7649295774647887,0.5486725663716814,0.4809238259414363,0.39054496789743676
226,645,65,63,37,0.63,0.9084507042253521,0.7692253521126761,0.5526315789473685,0.48559918760841,0.38115780663241566
241,649,61,64,36,0.64,0.9140845070422535,0.7770422535211268,0.5688888888888889,0.5045507882190496,0.37011008082754593
256,638,72,68,32,0.68,0.8985915492957747,0.7892957746478874,0.5666666666666667,0.5033845029761759,0.3356838898044278
