k,tn,fp,tp,fn,sensitivity,specificity,bacc,f1_score,mcc,composite_score
1,483,227,54,46,0.54,0.680281690140845,0.6101408450704225,0.28346456692913385,0.15223922989374541,0.5601962135352171
16,590,120,59,41,0.59,0.8309859154929577,0.7104929577464789,0.4229390681003584,0.3337763380336442,0.4434701351407484
31,602,108,56,44,0.56,0.847887323943662,0.703943661971831,0.42424242424242425,0.33391136438541524,0.46555157202722497
46,615,95,54,46,0.54,0.8661971830985915,0.7030985915492958,0.43373493975903615,0.3448833415694907,0.4790649160716654
61,614,96,64,36,0.64,0.8647887323943662,0.752394366197183,0.49230769230769234,0.417082681447692,0.38455440042667866
76,617,93,59,41,0.59,0.8690140845070422,0.729507042253521,0.46825396825396826,0.38674120434650194,0.4304152762827178
91,617,93,55,45,0.55,0.8690140845070422,0.7095070422535211,0.4435483870967742,0.3566957569819915,0.4686761249066654
106,620,90,58,42,0.58,0.8732394366197183,0.726619718309859,0.46774193548387094,0.38583090620774746,0.43871202448586527
121,622,88,60,40,0.6,0.8760563380281691,0.7380281690140845,0.4838709677419355,0.4052543390249181,0.41876249992446496
136,625,85,61,39,0.61,0.8802816901408451,0.7451408450704226,0.4959349593495935,0.4195796161850404,0.40796136301803465
151,620,90,58,42,0.58,0.8732394366197183,0.726619718309859,0.46774193548387094,0.38583090620774746,0.43871202448586527
166,628,82,69,31,0.69,0.8845070422535212,0.7872535211267606,0.549800796812749,0.48528106940447824,0.33081508927047143
181,628,82,65,35,0.65,0.8845070422535212,0.7672535211267606,0.5263157894736842,0.45621249341865006,0.368562916323699
196,625,85,68,32,0.68,0.8802816901408451,0.7801408450704226,0.5375494071146245,0.47087670335932363,0.34166134360728107
211,630,80,70,30,0.7,0.8873239436619719,0.7936619718309859,0.56,0.49738110554033665,0.3204620003555656
226,633,77,62,38,0.62,0.8915492957746479,0.755774647887324,0.5188284518828452,0.44632170275742183,0.3951728169383299
241,639,71,68,32,0.68,0.9,0.79,0.5690376569037657,0.5060442654061297,0.33526109228480416
256,632,78,64,36,0.64,0.8901408450704226,0.7650704225352113,0.5289256198347108,0.458657011502697,0.37638947105603376
