k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.69,0.7295774647887324,0.7097887323943661,0.3822714681440443,0.2953485907433129,0.4113737322072099,69,31,518,192
16,0.63,0.8422535211267606,0.7361267605633803,0.4581818181818182,0.3774839510545575,0.4022237581209063,63,37,598,112
31,0.66,0.8549295774647887,0.7574647887323944,0.4907063197026022,0.4168738427344024,0.3696558230226391,66,34,607,103
46,0.66,0.8774647887323944,0.7687323943661972,0.5217391304347826,0.4517007290143738,0.3614068040316849,66,34,623,87
61,0.67,0.8845070422535212,0.7772535211267606,0.5381526104417671,0.4708064201661182,0.3496264053086235,67,33,628,82
76,0.68,0.8816901408450705,0.7808450704225353,0.5396825396825397,0.4732506667486498,0.341170372062492,68,32,626,84
91,0.63,0.8971830985915493,0.7635915492957747,0.5338983050847458,0.4639714422906148,0.3840199411687303,63,37,637,73
106,0.63,0.9014084507042254,0.7657042253521127,0.5407725321888412,0.4718864163791246,0.3829102944457633,63,37,640,70
121,0.7,0.8943661971830986,0.7971830985915493,0.5714285714285714,0.5100214631579651,0.3180542411249377,70,30,635,75
136,0.69,0.8943661971830986,0.7921830985915492,0.5655737704918032,0.5028007303291135,0.3275034355507741,69,31,635,75
151,0.7,0.8647887323943662,0.782394366197183,0.5263157894736842,0.4602758837708957,0.3290624361538739,70,30,614,96
166,0.66,0.8873239436619719,0.773661971830986,0.5365853658536586,0.4683959748621278,0.358184161670907,66,34,630,80
181,0.59,0.8985915492957747,0.7442957746478873,0.5108225108225108,0.4365204462587244,0.4223549145851523,59,41,638,72
196,0.63,0.8943661971830986,0.7621830985915493,0.5294117647058824,0.4588171914396063,0.3847837058628652,63,37,635,75
211,0.6,0.9,0.75,0.5194805194805194,0.446713053969003,0.4123105625617661,60,40,639,71
226,0.62,0.9028169014084508,0.7614084507042254,0.5367965367965368,0.4670982693895604,0.3922302316903361,62,38,641,69
241,0.68,0.908450704225352,0.7942253521126761,0.5836909871244635,0.5225394772414478,0.3328382092801755,68,32,645,65
256,0.69,0.904225352112676,0.7971126760563381,0.5822784810126582,0.5214498361526906,0.3244576754800862,69,31,642,68
