k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.74,0.6887323943661972,0.7143661971830986,0.3746835443037974,0.2930898989888613,0.4055706132315316,74,26,489,221
16,0.63,0.828169014084507,0.7290845070422536,0.4421052631578947,0.3590285755778524,0.4079532911016779,63,37,588,122
31,0.68,0.8647887323943662,0.772394366197183,0.5151515151515151,0.445983825083835,0.3473932740965523,68,32,614,96
46,0.62,0.8802816901408451,0.7501408450704226,0.5020242914979757,0.4270004681483649,0.3984124417177915,62,38,625,85
61,0.65,0.8732394366197183,0.7616197183098592,0.5098039215686274,0.4375655726191416,0.3722475526158452,65,35,620,90
76,0.66,0.8873239436619719,0.773661971830986,0.5365853658536586,0.4683959748621278,0.358184161670907,66,34,630,80
91,0.64,0.8901408450704226,0.7650704225352113,0.5289256198347108,0.458657011502697,0.3763894710560337,64,36,632,78
106,0.65,0.8929577464788733,0.7714788732394366,0.5394190871369294,0.4710560573717064,0.3660027923921908,65,35,634,76
121,0.69,0.8971830985915493,0.7935915492957746,0.5702479338842975,0.5080077260772433,0.3266057489010797,69,31,637,73
136,0.65,0.9014084507042254,0.7757042253521127,0.5531914893617021,0.4867251878120796,0.3636210851869582,65,35,640,70
151,0.67,0.8985915492957747,0.7842957746478874,0.5606694560669456,0.4960905049646784,0.3452298855461839,67,33,638,72
166,0.64,0.9197183098591548,0.7798591549295775,0.579185520361991,0.5165310013694947,0.3688429879662492,64,36,653,57
181,0.69,0.9014084507042254,0.7957042253521127,0.5774058577405857,0.515998025847581,0.3253003129302848,69,31,640,70
196,0.73,0.8732394366197183,0.8016197183098591,0.5551330798479087,0.4949632532358981,0.29827544389119,73,27,620,90
211,0.65,0.9098591549295776,0.7799295774647887,0.5676855895196506,0.5033146220915402,0.3614213219360611,65,35,646,64
226,0.68,0.904225352112676,0.7921126760563381,0.576271186440678,0.514174069629033,0.3340251235729744,68,32,642,68
241,0.69,0.904225352112676,0.7971126760563381,0.5822784810126582,0.5214498361526906,0.3244576754800862,69,31,642,68
256,0.62,0.9098591549295776,0.7649295774647887,0.5486725663716814,0.4809238259414363,0.3905449678974367,62,38,646,64
