k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.5,0.7718309859154929,0.6359154929577464,0.3205128205128205,0.2034274767082158,0.5496008542463303,50,50,548,162
16,0.6,0.8140845070422535,0.7070422535211267,0.410958904109589,0.3203120700728855,0.4410947409817101,60,40,578,132
31,0.56,0.8070422535211268,0.6835211267605634,0.3822525597269625,0.2834157625760033,0.480450509341186,56,44,573,137
46,0.62,0.8042253521126761,0.7121126760563381,0.4119601328903654,0.3230867280254952,0.4274666218026919,62,38,571,139
61,0.6,0.819718309859155,0.7098591549295774,0.4166666666666667,0.3270491108412557,0.4387499148718318,60,40,582,128
76,0.61,0.8338028169014085,0.7219014084507043,0.4372759856630824,0.3518665912157955,0.4239357305888556,61,39,592,118
91,0.62,0.8211267605633803,0.7205633802816902,0.4290657439446367,0.3430961753875541,0.4199948044756629,62,38,583,127
106,0.61,0.8408450704225352,0.7254225352112675,0.4452554744525547,0.3611214768349547,0.4212247518947667,61,39,597,113
121,0.59,0.8450704225352113,0.7175352112676057,0.4386617100371747,0.3522219092468733,0.4382957608435404,59,41,600,110
136,0.61,0.8253521126760563,0.7176760563380282,0.4280701754385965,0.341148886293004,0.4273194174697856,61,39,586,124
151,0.61,0.8323943661971831,0.7211971830985915,0.4357142857142857,0.3500517351818484,0.4244898685274408,61,39,591,119
166,0.59,0.8422535211267606,0.7161267605633803,0.4354243542435424,0.3484329595598788,0.4392993872029705,59,41,598,112
181,0.62,0.8422535211267606,0.7311267605633802,0.4525547445255474,0.3702595085824184,0.4114413100272083,62,38,598,112
196,0.57,0.8436619718309859,0.7068309859154929,0.4253731343283582,0.3356236972248673,0.4575386093563858,56,44,599,111
211,0.63,0.8549295774647887,0.7424647887323943,0.4736842105263157,0.3951944807539137,0.3974234863398799,63,37,607,103
226,0.66,0.847887323943662,0.7539436619718309,0.4817518248175182,0.4068116355722733,0.3724758599117806,66,34,602,108
241,0.64,0.8380281690140845,0.7390140845070423,0.4587813620071684,0.3790019709890225,0.3947592608577156,64,36,595,115
256,0.6,0.8436619718309859,0.721830985915493,0.4428044280442804,0.3576291373781747,0.4294666215805082,60,40,599,111
