k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.43,0.7746478873239436,0.6023239436619718,0.2838283828382838,0.1553438539543868,0.6129303179706174,43,57,550,160
16,0.56,0.7647887323943662,0.6623943661971832,0.3467492260061919,0.2391986071598872,0.4989231808692086,56,44,543,167
31,0.6,0.7915492957746478,0.6957746478873239,0.3896103896103896,0.2948395287938644,0.4510562005915064,60,40,562,148
46,0.64,0.8042253521126761,0.7221126760563381,0.4224422442244224,0.337202006450197,0.4097898397415505,64,36,571,139
61,0.6,0.8183098591549296,0.7091549295774648,0.4152249134948096,0.3253498214881979,0.4393305216807746,60,40,581,129
76,0.64,0.8309859154929577,0.7354929577464788,0.4507042253521127,0.3697779549788911,0.3977005918549199,64,36,590,120
91,0.58,0.8366197183098592,0.7083098591549295,0.4233576642335766,0.3337073815925636,0.4506585364165976,57,43,594,116
106,0.61,0.8422535211267606,0.7261267605633803,0.4468864468864469,0.3630098115703526,0.4206946060943798,61,39,598,112
121,0.62,0.8436619718309859,0.731830985915493,0.4542124542124542,0.3721670195233886,0.4109033694821392,62,38,599,111
136,0.6,0.8507042253521127,0.7253521126760563,0.4511278195488721,0.3673024508894928,0.4269534264152388,60,40,604,106
151,0.56,0.8507042253521127,0.7053521126760564,0.4274809160305343,0.3377639812683607,0.4646388149172567,56,44,604,106
166,0.59,0.8676056338028169,0.7288028169014085,0.466403162055336,0.3845848188070494,0.4308459912785006,59,41,616,94
181,0.61,0.8549295774647887,0.7324647887323943,0.4621212121212121,0.3806082230097568,0.4161074710871517,61,39,607,103
196,0.59,0.8746478873239436,0.7323239436619717,0.4758064516129032,0.3955426226163328,0.4287343608253842,59,41,621,89
211,0.59,0.8746478873239436,0.7323239436619717,0.4758064516129032,0.3955426226163328,0.4287343608253842,59,41,621,89
226,0.57,0.8690140845070422,0.719507042253521,0.456,0.3717834306880646,0.4495078531655796,56,44,617,93
241,0.56,0.8661971830985915,0.7130985915492958,0.446215139442231,0.3600050296685342,0.4598947638435904,56,44,615,95
256,0.65,0.8732394366197183,0.7616197183098592,0.5098039215686274,0.4375655726191416,0.3722475526158452,65,35,620,90
