k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
1,0.58,0.6845070422535211,0.6322535211267606,0.3036649214659686,0.1826521960450534,0.5252959226832258,57,43,486,224
16,0.56,0.795774647887324,0.677887323943662,0.3720930232558139,0.270955204180744,0.4850855537382519,56,44,565,145
31,0.55,0.7901408450704225,0.6700704225352112,0.3618421052631579,0.2577724889461372,0.4965288157879222,55,45,561,149
46,0.58,0.8225352112676056,0.7012676056338027,0.4084507042253521,0.3160363024311216,0.4559536722517249,57,43,584,126
61,0.64,0.819718309859155,0.7298591549295774,0.4383561643835616,0.3556117675911219,0.4026182904439882,64,36,582,128
76,0.61,0.8309859154929577,0.7204929577464789,0.4341637010676156,0.3482485229522336,0.4250479511322854,61,39,590,120
91,0.59,0.8436619718309859,0.7168309859154929,0.437037037037037,0.3503209152800962,0.4387956005383092,59,41,599,111
106,0.59,0.847887323943662,0.718943661971831,0.4419475655430712,0.3560638026411618,0.4373079763930912,59,41,602,108
121,0.59,0.8507042253521127,0.7203521126760564,0.4452830188679245,0.3599602620939597,0.4363361414411059,59,41,604,106
136,0.57,0.8549295774647887,0.7124647887323943,0.4384615384615384,0.3510988978592876,0.4538121059365261,56,44,607,103
151,0.58,0.8309859154929577,0.7054929577464788,0.4172661870503597,0.3265032983559768,0.4527314444146261,57,43,590,120
166,0.59,0.8464788732394366,0.7182394366197182,0.4402985074626865,0.3541361381341041,0.4377998816375274,59,41,601,109
181,0.63,0.8549295774647887,0.7424647887323943,0.4736842105263157,0.3951944807539137,0.3974234863398799,63,37,607,103
196,0.62,0.8619718309859155,0.7409859154929577,0.4769230769230769,0.398230171851005,0.4042916959837052,62,38,612,98
211,0.62,0.8676056338028169,0.7438028169014084,0.484375,0.4067679397985208,0.4024031165395639,62,38,616,94
226,0.58,0.8352112676056338,0.7076056338028169,0.4218181818181818,0.331888663199772,0.4511710610446353,57,43,593,117
241,0.58,0.8507042253521127,0.7153521126760563,0.4393939393939394,0.3525901078351519,0.4457456991690585,57,43,604,106
256,0.58,0.8605633802816901,0.7202816901408451,0.4513618677042801,0.3666326629164189,0.4425410386828193,57,43,611,99
