k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
6,0.71,0.7788732394366197,0.7444366197183099,0.4329268292682927,0.3575991875995013,0.3646875981401815,71,29,553,157
16,0.59,0.7971830985915493,0.6935915492957747,0.3894389438943894,0.2939024463321469,0.4574217916725494,59,41,566,144
26,0.58,0.8056338028169014,0.6928169014084506,0.3918918918918919,0.2962047701292031,0.462793926718382,57,43,572,138
36,0.62,0.8042253521126761,0.7121126760563381,0.4119601328903654,0.3230867280254952,0.4274666218026919,62,38,571,139
46,0.62,0.8056338028169014,0.7128169014084507,0.4133333333333333,0.3247023040243847,0.4268234044747536,62,38,572,138
56,0.61,0.8253521126760563,0.7176760563380282,0.4280701754385965,0.341148886293004,0.4273194174697856,61,39,586,124
66,0.6,0.8211267605633803,0.7105633802816902,0.4181184668989547,0.3287586492094246,0.43817306602135,60,40,583,127
76,0.65,0.8225352112676056,0.7362676056338029,0.4467353951890034,0.3661856674923392,0.392420375668534,65,35,584,126
86,0.69,0.8295774647887324,0.7597887323943662,0.4758620689655172,0.4033730097886386,0.3537567533035034,69,31,589,121
96,0.65,0.8295774647887324,0.7397887323943662,0.4545454545454545,0.3750931861524232,0.3892863220148323,65,35,589,121
106,0.68,0.8295774647887324,0.7547887323943663,0.4705882352941176,0.3963352370856229,0.3625518452688328,68,32,589,121
116,0.67,0.8323943661971831,0.7511971830985915,0.4685314685314685,0.3929390293702477,0.3701238285796308,67,33,591,119
126,0.7,0.8338028169014085,0.7669014084507042,0.4861111111111111,0.4159450100967648,0.3429599155439404,70,30,592,118
136,0.63,0.8352112676056338,0.7326056338028168,0.45,0.3681059794032618,0.4050374381759568,63,37,593,117
146,0.65,0.8380281690140845,0.7440140845070422,0.4642857142857143,0.3861602236246751,0.3856616055986516,65,35,595,115
156,0.68,0.8450704225352113,0.7625352112676056,0.4892086330935252,0.4171364963231945,0.3555322404134651,68,32,600,110
166,0.67,0.8464788732394366,0.7582394366197183,0.4855072463768116,0.4119844011301141,0.3639625480208547,67,33,601,109
176,0.64,0.8535211267605634,0.7467605633802816,0.4776119402985074,0.4004172404071962,0.3886593113582832,64,36,606,104
186,0.63,0.8605633802816901,0.745281690140845,0.4809160305343511,0.4034403109594309,0.3954017841619693,63,37,611,99
196,0.64,0.8732394366197183,0.7566197183098591,0.5039370078740157,0.4302658858003889,0.3816650893499252,64,36,620,90
206,0.62,0.8746478873239436,0.7473239436619719,0.4940239043824701,0.417824740315893,0.4001414151926175,62,38,621,89
216,0.61,0.8732394366197183,0.7416197183098592,0.4860557768924303,0.4081881218746666,0.4100832115906312,61,39,620,90
226,0.63,0.8718309859154929,0.7509154929577464,0.4960629921259842,0.4207017977790301,0.3915702953128526,63,37,619,91
236,0.63,0.8760563380281691,0.7530281690140845,0.50199203187251,0.4274613587571195,0.3902076771963713,63,37,622,88
246,0.63,0.8718309859154929,0.7509154929577464,0.4960629921259842,0.4207017977790301,0.3915702953128526,63,37,619,91
256,0.61,0.8690140845070422,0.739507042253521,0.4803149606299212,0.4015736217363125,0.4114089328849439,61,39,617,93
