k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
6,0.68,0.7619718309859155,0.7209859154929578,0.4035608308605341,0.3195746197949501,0.3988200211175431,68,32,541,169
16,0.58,0.795774647887324,0.687887323943662,0.3828382838283828,0.2852425343085369,0.4670203362226815,57,43,565,145
26,0.68,0.828169014084507,0.7540845070422535,0.4689655172413793,0.3945160800535126,0.3632160345038339,68,32,588,122
36,0.7,0.8647887323943662,0.782394366197183,0.5263157894736842,0.4602758837708957,0.3290624361538739,70,30,614,96
46,0.7,0.8647887323943662,0.782394366197183,0.5263157894736842,0.4602758837708957,0.3290624361538739,70,30,614,96
56,0.7,0.8690140845070422,0.7845070422535211,0.532319391634981,0.4668810513829158,0.3273489118013504,70,30,617,93
66,0.7,0.8690140845070422,0.7845070422535211,0.532319391634981,0.4668810513829158,0.3273489118013504,70,30,617,93
76,0.7,0.8676056338028169,0.7838028169014084,0.5303030303030303,0.4646625685335716,0.3279150319835214,70,30,616,94
86,0.71,0.8788732394366198,0.7944366197183099,0.5525291828793775,0.4900547198380906,0.3142796400096234,71,29,624,86
96,0.7,0.8887323943661972,0.7943661971830986,0.5622489959839357,0.4998655921499553,0.3199694986455419,70,30,631,79
106,0.7,0.8943661971830986,0.7971830985915493,0.5714285714285714,0.5100214631579651,0.3180542411249377,70,30,635,75
116,0.7,0.895774647887324,0.7978873239436619,0.5737704918032787,0.5126167966479032,0.3175892378891503,70,30,636,74
126,0.7,0.8887323943661972,0.7943661971830986,0.5622489959839357,0.4998655921499553,0.3199694986455419,70,30,631,79
136,0.7,0.8859154929577465,0.7929577464788733,0.5577689243027888,0.4949176878457047,0.320959927011261,70,30,629,81
146,0.69,0.8915492957746479,0.7907746478873239,0.5609756097560976,0.4976857900683803,0.3284228299722399,69,31,633,77
156,0.68,0.8915492957746479,0.785774647887324,0.5551020408163265,0.4904424401646973,0.3378780182950272,68,32,633,77
166,0.66,0.8929577464788733,0.7764788732394367,0.5454545454545454,0.4783972973325155,0.3564520220715281,66,34,634,76
176,0.68,0.895774647887324,0.787887323943662,0.5619834710743802,0.4981375831623341,0.3365455749568121,68,32,636,74
186,0.68,0.8873239436619719,0.783661971830986,0.5483870967741935,0.4829480702936006,0.3392578571999334,68,32,630,80
196,0.67,0.895774647887324,0.782887323943662,0.5560165975103735,0.4908514091989999,0.3460678026384587,67,33,636,74
206,0.69,0.8943661971830986,0.7921830985915492,0.5655737704918032,0.5028007303291135,0.3275034355507741,69,31,635,75
216,0.67,0.9014084507042254,0.7857042253521127,0.5654008438818565,0.5014273489621868,0.3444129695475202,67,33,640,70
226,0.69,0.895774647887324,0.792887323943662,0.5679012345679012,0.5053925204716943,0.3270518674813084,69,31,636,74
236,0.69,0.9014084507042254,0.7957042253521127,0.5774058577405857,0.515998025847581,0.3253003129302848,69,31,640,70
246,0.69,0.8985915492957747,0.7942957746478874,0.5726141078838174,0.5106467610262934,0.3261651021710191,69,31,638,72
256,0.65,0.908450704225352,0.7792253521126761,0.5652173913043478,0.5004813341831871,0.3617751699009122,65,35,645,65
