k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
6,0.59,0.7774647887323943,0.6837323943661971,0.3722397476340694,0.2729528863535117,0.466499646574269,59,41,552,158
16,0.61,0.8028169014084507,0.7064084507042254,0.4053156146179402,0.3143981407180367,0.4370139292633184,61,39,570,140
26,0.65,0.8422535211267606,0.7461267605633803,0.4693140794223827,0.3918587218059979,0.3839061755128528,65,35,598,112
36,0.67,0.8577464788732394,0.7638732394366197,0.5,0.4281859017710513,0.3593550671313286,67,33,609,101
46,0.67,0.8535211267605634,0.7617605633802818,0.4944649446494465,0.4220023821062462,0.3610485567143219,67,33,606,104
56,0.71,0.8535211267605634,0.7817605633802817,0.5163636363636364,0.4504364116222143,0.3248939216198034,71,29,606,104
66,0.7,0.8704225352112676,0.7852112676056338,0.5343511450381679,0.469116640650501,0.3267878813252952,70,30,618,92
76,0.68,0.8788732394366198,0.7794366197183099,0.5354330708661418,0.4685222378858242,0.3421574084023001,68,32,624,86
86,0.7,0.8746478873239436,0.7873239436619718,0.5405405405405406,0.4759287409548275,0.3251355904116785,70,30,621,89
96,0.7,0.8816901408450705,0.7908450704225352,0.5511811023622047,0.4876504139285418,0.3224860039959242,70,30,626,84
106,0.67,0.8873239436619719,0.778661971830986,0.5425101214574899,0.4756871769321734,0.3487060275818163,67,33,630,80
116,0.67,0.8901408450704226,0.7800704225352113,0.5469387755102041,0.4806529286680634,0.3478060291625792,67,33,632,78
126,0.69,0.8788732394366198,0.7844366197183099,0.5411764705882353,0.4757274152917127,0.3328238154408102,69,31,624,86
136,0.66,0.8901408450704226,0.7750704225352113,0.5409836065573771,0.4733525313727446,0.3573080378634671,66,34,632,78
146,0.65,0.8901408450704226,0.7700704225352113,0.5349794238683128,0.4660207540295618,0.3668365220664933,65,35,632,78
156,0.65,0.8859154929577465,0.7679577464788733,0.5284552845528455,0.4586327031267104,0.3681239937128168,65,35,629,81
166,0.65,0.8845070422535212,0.7672535211267606,0.5263157894736842,0.45621249341865,0.368562916323699,65,35,628,82
176,0.62,0.8887323943661972,0.7543661971830986,0.5145228215767634,0.4413630296307662,0.3959551490553942,62,38,631,79
186,0.64,0.8915492957746479,0.765774647887324,0.5311203319502075,0.4611583814580596,0.3759807910611589,64,36,633,77
196,0.62,0.8929577464788733,0.7564788732394366,0.5210084033613446,0.4488348673712184,0.3947886067744118,62,38,634,76
206,0.62,0.8915492957746479,0.755774647887324,0.5188284518828452,0.4463217027574218,0.3951728169383299,62,38,633,77
216,0.63,0.8943661971830986,0.7621830985915493,0.5294117647058824,0.4588171914396063,0.3847837058628652,63,37,635,75
226,0.64,0.8943661971830986,0.7671830985915493,0.5355648535564853,0.4662292236403244,0.3751779581712657,64,36,635,75
236,0.64,0.8985915492957747,0.7692957746478873,0.5423728813559322,0.4740119677582984,0.3740102590494427,64,36,638,72
246,0.6,0.8929577464788733,0.7464788732394366,0.5084745762711864,0.4338498658875639,0.4140749256340948,60,40,634,76
256,0.62,0.904225352112676,0.762112676056338,0.5391304347826087,0.4698087076493877,0.3918836347411574,62,38,642,68
