k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
6,0.62,0.7619718309859155,0.6909859154929577,0.3746223564954682,0.2783013025710318,0.4483942564799393,62,38,541,169
16,0.68,0.7788732394366197,0.7294366197183099,0.4184615384615384,0.3370177024197869,0.3889692073124227,68,32,553,157
26,0.61,0.7887323943661971,0.6993661971830986,0.3922829581993569,0.2988519240055819,0.4435470676154224,61,39,560,150
36,0.64,0.8014084507042254,0.7207042253521128,0.419672131147541,0.3339759546421578,0.411143044999786,64,36,569,141
46,0.64,0.8112676056338028,0.7256338028169014,0.4295302013422818,0.34542600263432,0.4064725288173824,64,36,576,134
56,0.64,0.8295774647887324,0.7347887323943663,0.4491228070175438,0.3679684202202767,0.3983011932041325,64,36,589,121
66,0.67,0.8309859154929577,0.750492957746479,0.4668989547038327,0.3911018445611784,0.370763753300877,67,33,590,120
76,0.64,0.8352112676056338,0.737605633802817,0.4555160142348754,0.3752764345068144,0.3959233844118607,64,36,593,117
86,0.66,0.8338028169014085,0.7469014084507042,0.4647887323943662,0.3876918391614809,0.3784461701086519,66,34,592,118
96,0.64,0.8450704225352113,0.7425352112676056,0.4671532846715328,0.3885355720773458,0.3919224081032085,64,36,600,110
106,0.57,0.847887323943662,0.708943661971831,0.430188679245283,0.3413237768081747,0.4561121202259598,56,44,602,108
116,0.61,0.8436619718309859,0.7268309859154929,0.4485294117647059,0.3649110273622021,0.420168512684822,61,39,599,111
126,0.59,0.8549295774647887,0.7224647887323943,0.4503816793893129,0.3659109797073908,0.4349085277326081,59,41,607,103
136,0.56,0.8507042253521127,0.7053521126760564,0.4274809160305343,0.3377639812683607,0.4646388149172567,56,44,604,106
146,0.57,0.856338028169014,0.7131690140845071,0.4401544401544401,0.3530971320760449,0.4533638297773291,56,44,608,102
156,0.61,0.8690140845070422,0.739507042253521,0.4803149606299212,0.4015736217363125,0.4114089328849439,61,39,617,93
166,0.65,0.8647887323943662,0.7573943661971831,0.4980842911877394,0.4243487434541414,0.3752093907240626,65,35,614,96
176,0.62,0.8661971830985915,0.7430985915492958,0.4824902723735408,0.4046086804307794,0.4028687054249211,62,38,615,95
186,0.62,0.8535211267605634,0.7367605633802816,0.4661654135338345,0.3858971374657734,0.4072542943978552,62,38,606,104
196,0.67,0.8690140845070422,0.7695070422535211,0.5153846153846153,0.4453614458427224,0.3550455042068949,67,33,617,93
206,0.64,0.8760563380281691,0.7580281690140845,0.5079365079365079,0.4348020167921396,0.3807387967399533,64,36,622,88
216,0.64,0.8788732394366198,0.7594366197183099,0.512,0.4394129479162111,0.3798311363284722,64,36,624,86
226,0.64,0.8788732394366198,0.7594366197183099,0.512,0.4394129479162111,0.3798311363284722,64,36,624,86
236,0.64,0.8830985915492958,0.7615492957746479,0.5182186234817814,0.4464751516618883,0.3785048735455837,64,36,627,83
246,0.68,0.8760563380281691,0.7780281690140846,0.53125,0.4638705448655575,0.3431647291651452,68,32,622,88
256,0.67,0.8816901408450705,0.7758450704225353,0.5338645418326693,0.4660078325220253,0.3505670018316887,67,33,626,84
