k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
6,0.6,0.6915492957746479,0.6457746478873239,0.316622691292876,0.2018328296320714,0.5051156668893925,60,40,491,219
16,0.72,0.7267605633802817,0.7233802816901409,0.3934426229508196,0.3129419152069419,0.3912285645556329,72,28,516,194
26,0.69,0.7535211267605634,0.7217605633802817,0.4011627906976744,0.3180096929585241,0.3960452435686891,69,31,535,175
36,0.69,0.795774647887324,0.742887323943662,0.4394904458598726,0.3624382322046018,0.3712249916769432,69,31,565,145
46,0.65,0.8084507042253521,0.7292253521126761,0.4318936877076412,0.3491524899478708,0.398987634785545,65,35,574,136
56,0.67,0.8042253521126761,0.737112676056338,0.4379084967320261,0.3582299253269392,0.3837026358463095,67,33,571,139
66,0.65,0.823943661971831,0.7369718309859155,0.4482758620689655,0.3679452908481347,0.3917854440377907,65,35,585,125
76,0.68,0.8154929577464789,0.7477464788732395,0.4548494983277591,0.3786339197401367,0.3693817112975987,68,32,579,131
86,0.66,0.8267605633802817,0.7433802816901409,0.4567474048442906,0.3785888831862666,0.3815912766302675,66,34,587,123
96,0.68,0.828169014084507,0.7540845070422535,0.4689655172413793,0.3945160800535126,0.3632160345038339,68,32,588,122
106,0.65,0.8366197183098592,0.7433098591549296,0.4626334519572954,0.3842857383583414,0.386255247789787,65,35,594,116
116,0.65,0.847887323943662,0.748943661971831,0.4761904761904761,0.3996386433824965,0.3816258196414656,65,35,602,108
126,0.67,0.8380281690140845,0.7540140845070422,0.475177304964539,0.4004068071198975,0.3676069559093379,67,33,595,115
136,0.67,0.8352112676056338,0.7526056338028169,0.4718309859154929,0.3966487812527758,0.3688567829444675,67,33,593,117
146,0.65,0.852112676056338,0.751056338028169,0.4814814814814814,0.4056167791404816,0.379961393543104,65,35,605,105
156,0.65,0.852112676056338,0.751056338028169,0.4814814814814814,0.4056167791404816,0.379961393543104,65,35,605,105
166,0.63,0.8746478873239436,0.7523239436619718,0.5,0.4251898543030121,0.3906573334168331,63,37,621,89
176,0.64,0.8676056338028169,0.7538028169014084,0.4961240310077519,0.4214084760598572,0.3835730285105482,64,36,616,94
186,0.65,0.8746478873239436,0.7623239436619718,0.5118110236220472,0.4398299738217477,0.3717702948762189,65,35,621,89
196,0.64,0.8746478873239436,0.7573239436619719,0.5059288537549407,0.4325247546694239,0.3811996224451839,64,36,621,89
206,0.65,0.8774647887323944,0.7637323943661972,0.5158730158730159,0.4444141792812672,0.3708299853037733,65,35,623,87
216,0.67,0.8760563380281691,0.7730281690140846,0.5254901960784314,0.4566464939554271,0.352508200391122,67,33,622,88
226,0.66,0.8873239436619719,0.773661971830986,0.5365853658536586,0.4683959748621278,0.358184161670907,66,34,630,80
236,0.67,0.8873239436619719,0.778661971830986,0.5425101214574899,0.4756871769321734,0.3487060275818163,67,33,630,80
246,0.71,0.8830985915492958,0.7965492957746478,0.5590551181102362,0.4972145019499006,0.3126754536220558,71,29,627,83
256,0.69,0.8901408450704226,0.7900704225352113,0.5587044534412956,0.4951618604456969,0.3288906108751676,69,31,632,78
