k,sensitivity,specificity,bacc,f1_score,mcc,composite_score,tp,fn,tn,fp
6,0.6,0.7718309859154929,0.6859154929577465,0.3726708074534161,0.2742266146201548,0.4605009218104737,60,40,548,162
16,0.57,0.7535211267605634,0.6617605633802817,0.3433734939759036,0.2354094589523382,0.4956327621872693,56,44,535,175
26,0.53,0.7887323943661971,0.6593661971830986,0.3498349834983498,0.2419429741904869,0.5152999138271227,53,47,560,150
36,0.59,0.7985915492957747,0.6942957746478873,0.390728476821192,0.2954575224614611,0.4567990411713628,59,41,567,143
46,0.62,0.8056338028169014,0.7128169014084507,0.4133333333333333,0.3247023040243847,0.4268234044747536,62,38,572,138
56,0.61,0.8056338028169014,0.7078169014084508,0.4080267558528428,0.3176090668428492,0.4357501791249421,61,39,572,138
66,0.6,0.823943661971831,0.7119718309859155,0.4210526315789473,0.3322090416505797,0.437030701621624,60,40,585,125
76,0.66,0.8211267605633803,0.7405633802816902,0.4505119453924914,0.3715073848655516,0.384181774407051,66,34,583,127
86,0.64,0.8408450704225352,0.7404225352112677,0.4620938628158845,0.3827770175237988,0.3936118539993527,64,36,597,113
96,0.66,0.8394366197183099,0.7497183098591549,0.4714285714285714,0.3951873457353819,0.3760061157580853,66,34,596,114
106,0.66,0.8464788732394366,0.7532394366197184,0.48,0.4048411237674288,0.3730532620978309,66,34,601,109
116,0.69,0.8450704225352113,0.7675352112676056,0.4946236559139785,0.4242276039444009,0.3465590483213762,69,31,600,110
126,0.67,0.8492957746478873,0.7596478873239436,0.4890510948905109,0.415949667319737,0.3627833562044713,67,33,603,107
136,0.68,0.852112676056338,0.7660563380281691,0.4981684981684982,0.4271102672416045,0.3525204399509589,68,32,605,105
146,0.71,0.8492957746478873,0.7796478873239436,0.5107913669064749,0.4443264557133599,0.3268206901941497,71,29,603,107
156,0.63,0.8591549295774648,0.7445774647887324,0.4790874524714829,0.4013559137259571,0.3959006616088547,63,37,610,100
166,0.65,0.8577464788732394,0.7538732394366197,0.4887218045112781,0.4137891673301943,0.3778042671449883,65,35,609,101
176,0.66,0.856338028169014,0.758169014084507,0.4925373134328358,0.418929681316433,0.3691053537275868,66,34,608,102
186,0.7,0.847887323943662,0.773943661971831,0.5035971223021583,0.4352631359166381,0.3363603220016006,70,30,602,108
196,0.7,0.8549295774647887,0.7774647887323943,0.5128205128205128,0.4454246831476764,0.3332347933432893,70,30,607,103
206,0.71,0.856338028169014,0.783169014084507,0.5201465201465202,0.4545818911007124,0.323633685129294,71,29,608,102
216,0.7,0.8704225352112676,0.7852112676056338,0.5343511450381679,0.469116640650501,0.3267878813252952,70,30,618,92
226,0.69,0.8718309859154929,0.7809154929577464,0.5307692307692308,0.4642139554394094,0.3354508848868856,69,31,619,91
236,0.69,0.8633802816901408,0.7766901408450704,0.518796992481203,0.4509785404827555,0.3387697557797409,69,31,613,97
246,0.68,0.8619718309859155,0.7709859154929577,0.5112781954887218,0.4416811971946152,0.3484993191404836,68,32,612,98
256,0.69,0.8760563380281691,0.7830281690140846,0.5369649805447471,0.4710667110809103,0.3338592987217632,69,31,622,88
