k,tn,fp,tp,fn,sensitivity,specificity,bacc,f1_score,mcc,composite_score
1,549,161,67,33,0.67,0.7732394366197183,0.7216197183098592,0.40853658536585363,0.3242191424303171,0.40040024113946626
16,595,115,67,33,0.67,0.8380281690140845,0.7540140845070422,0.475177304964539,0.4004068071198975,0.36760695590933795
31,601,109,64,36,0.64,0.8464788732394366,0.7432394366197184,0.46886446886446886,0.39048143542946057,0.3913677763457704
46,614,96,63,37,0.63,0.8647887323943662,0.7473943661971831,0.4864864864864865,0.40978864386625224,0.3939315764032154
61,609,101,60,40,0.6,0.8577464788732394,0.7288732394366197,0.45977011494252873,0.3773278840563501,0.42454218197131105
76,618,92,66,34,0.66,0.8704225352112676,0.7652112676056337,0.5116279069767442,0.44035081044434576,0.36385480535658066
91,625,85,67,33,0.67,0.8802816901408451,0.7751408450704226,0.5317460317460317,0.46363850425952224,0.3510448314895586
106,628,82,66,34,0.66,0.8845070422535212,0.7722535211267606,0.532258064516129,0.46352463747642997,0.3590802463085792
121,623,87,66,34,0.66,0.8774647887323944,0.7687323943661972,0.5217391304347826,0.4517007290143738,0.36140680403168496
136,632,78,64,36,0.64,0.8901408450704226,0.7650704225352113,0.5289256198347108,0.458657011502697,0.37638947105603376
151,633,77,63,37,0.63,0.8915492957746479,0.760774647887324,0.525,0.453756770818106,0.38556653802810065
166,637,73,69,31,0.69,0.8971830985915493,0.7935915492957746,0.5702479338842975,0.5080077260772433,0.3266057489010797
181,631,79,65,35,0.65,0.8887323943661972,0.7693661971830986,0.5327868852459017,0.46353646505395496,0.3672607793700267
196,639,71,68,32,0.68,0.9,0.79,0.5690376569037657,0.5060442654061297,0.33526109228480416
211,641,69,61,39,0.61,0.9028169014084507,0.7564084507042254,0.5304347826086957,0.4595844988047879,0.40192605619921534
226,635,75,65,35,0.65,0.8943661971830986,0.7721830985915493,0.5416666666666666,0.47360786368133395,0.365593353738221
241,637,73,65,35,0.65,0.8971830985915493,0.7735915492957747,0.5462184873949579,0.4787818395763821,0.3647894121479337
256,650,60,62,38,0.62,0.9154929577464789,0.7677464788732394,0.5585585585585585,0.492502913179304,0.3892832390309637
