k,tn,fp,tp,fn,sensitivity,specificity,bacc,f1_score,mcc,composite_score
1,526,184,67,33,0.67,0.7408450704225352,0.7054225352112676,0.3817663817663818,0.29225670935862347,0.4195965651960234
16,629,81,68,32,0.68,0.8859154929577465,0.7829577464788733,0.5461847389558233,0.48049281082739725,0.3397282366054873
31,640,70,67,33,0.67,0.9014084507042254,0.7857042253521127,0.5654008438818565,0.5014273489621868,0.34441296954752026
46,648,62,71,29,0.71,0.9126760563380282,0.8113380281690141,0.6094420600858369,0.5529313137588417,0.3028621322263304
61,647,63,69,31,0.69,0.9112676056338028,0.8006338028169013,0.5948275862068966,0.535544012181953,0.3224491243746188
76,650,60,71,29,0.71,0.9154929577464789,0.8127464788732395,0.6147186147186147,0.5588317387820684,0.30206198070998347
91,652,58,71,29,0.71,0.9183098591549296,0.8141549295774648,0.6200873362445415,0.5648519570189586,0.30128604201205117
106,653,57,67,33,0.67,0.9197183098591549,0.7948591549295775,0.5982142857142857,0.5387668749379988,0.33962501346613244
121,656,54,68,32,0.68,0.923943661971831,0.8019718309859155,0.6126126126126126,0.5554583092353644,0.3289142237031641
136,651,59,77,23,0.77,0.9169014084507042,0.8434507042253521,0.652542372881356,0.6045387988381856,0.24455137684641376
151,651,59,70,30,0.7,0.9169014084507042,0.8084507042253521,0.611353711790393,0.5545957345310556,0.3112962831732443
166,649,61,70,30,0.7,0.9140845070422535,0.8070422535211268,0.6060606060606061,0.5486391310717897,0.31206004539218507
181,657,53,71,29,0.71,0.9253521126760563,0.8176760563380281,0.6339285714285714,0.5804579347612402,0.29945334708753585
196,657,53,71,29,0.71,0.9253521126760563,0.8176760563380281,0.6339285714285714,0.5804579347612402,0.29945334708753585
211,653,57,70,30,0.7,0.9197183098591549,0.8098591549295775,0.6167400881057269,0.5606751266249677,0.3105561942255712
226,654,56,69,31,0.69,0.9211267605633803,0.8055633802816902,0.6133333333333333,0.5564936121206041,0.3198765197685294
241,650,60,71,29,0.71,0.9154929577464789,0.8127464788732395,0.6147186147186147,0.5588317387820684,0.30206198070998347
256,656,54,64,36,0.64,0.923943661971831,0.7819718309859155,0.5871559633027523,0.5258608554396573,0.36794641804786615
