k,tn,fp,tp,fn,sensitivity,specificity,bacc,f1_score,mcc,composite_score
1,497,213,72,28,0.72,0.7,0.71,0.37402597402597404,0.2893186187542978,0.4103656905736639
16,628,82,65,35,0.65,0.8845070422535212,0.7672535211267606,0.5263157894736842,0.45621249341865006,0.368562916323699
31,640,70,69,31,0.69,0.9014084507042254,0.7957042253521127,0.5774058577405857,0.515998025847581,0.3253003129302848
46,642,68,70,30,0.7,0.9042253521126761,0.802112676056338,0.5882352941176471,0.5286934599183216,0.3149171052482556
61,652,58,72,28,0.72,0.9183098591549296,0.8191549295774647,0.6260869565217392,0.5720507960953856,0.2916732403071757
76,649,61,71,29,0.71,0.9140845070422535,0.8120422535211267,0.6120689655172413,0.5558668348508395,0.302459041739824
91,651,59,70,30,0.7,0.9169014084507042,0.8084507042253521,0.611353711790393,0.5545957345310556,0.3112962831732443
106,650,60,69,31,0.69,0.9154929577464789,0.8027464788732395,0.6026200873362445,0.5443395120431525,0.3213120604497105
121,654,56,69,31,0.69,0.9211267605633803,0.8055633802816902,0.6133333333333333,0.5564936121206041,0.3198765197685294
136,649,61,72,28,0.72,0.9140845070422535,0.8170422535211268,0.6180257510729614,0.5630619259313064,0.29288474171621265
151,652,58,70,30,0.7,0.9183098591549296,0.8091549295774647,0.6140350877192983,0.5576197838349254,0.31092326884826016
166,654,56,76,24,0.76,0.9211267605633803,0.8405633802816901,0.6551724137931034,0.6066738915230557,0.25262816133445287
181,654,56,72,28,0.72,0.9211267605633803,0.8205633802816901,0.631578947368421,0.5781970970425012,0.2908968681495666
196,654,56,72,28,0.72,0.9211267605633803,0.8205633802816901,0.631578947368421,0.5781970970425012,0.2908968681495666
211,659,51,69,31,0.69,0.928169014084507,0.8090845070422534,0.6272727272727273,0.572428486643425,0.31821327838038405
226,659,51,75,25,0.75,0.928169014084507,0.8390845070422535,0.6637168141592921,0.615536475786288,0.2601147641668803
241,653,57,70,30,0.7,0.9197183098591549,0.8098591549295775,0.6167400881057269,0.5606751266249677,0.3105561942255712
256,661,49,68,32,0.68,0.9309859154929577,0.8054929577464789,0.6267281105990783,0.5717429592019946,0.3273575168838271
