k,tn,fp,tp,fn,sensitivity,specificity,bacc,f1_score,mcc,composite_score
1,505,205,50,50,0.5,0.7112676056338029,0.6056338028169015,0.28169014084507044,0.14963924314110733,0.5773789012047784
16,583,127,59,41,0.59,0.8211267605633803,0.7055633802816901,0.4125874125874126,0.3215556564989496,0.447320506780709
31,586,124,59,41,0.59,0.8253521126760563,0.7076760563380282,0.4169611307420495,0.3267279462753994,0.44564771349880944
46,609,101,66,34,0.66,0.8577464788732394,0.7588732394366198,0.4943820224719101,0.4210004948565168,0.3685594446937451
61,612,98,60,40,0.6,0.8619718309859155,0.7309859154929577,0.46511627906976744,0.38352380729088004,0.42314509974875136
76,614,96,63,37,0.63,0.8647887323943662,0.7473943661971831,0.4864864864864865,0.40978864386625224,0.3939315764032154
91,622,88,60,40,0.6,0.8760563380281691,0.7380281690140845,0.4838709677419355,0.4052543390249181,0.41876249992446496
106,620,90,62,38,0.62,0.8732394366197183,0.7466197183098591,0.49206349206349204,0.41557769181388454,0.4005848729401629
121,620,90,58,42,0.58,0.8732394366197183,0.726619718309859,0.46774193548387094,0.38583090620774746,0.43871202448586527
136,627,83,63,37,0.63,0.8830985915492958,0.7565492957746479,0.5121951219512195,0.4391061596558754,0.3880282712609461
151,629,81,59,41,0.59,0.8859154929577465,0.7379577464788732,0.49166666666666664,0.41405458509165005,0.42557640294907567
166,627,83,62,38,0.62,0.8830985915492958,0.7515492957746479,0.5061224489795918,0.43170537118489377,0.3975750737882826
181,636,74,61,39,0.61,0.895774647887324,0.752887323943662,0.5191489361702127,0.44644448261383857,0.40368666564925243
196,635,75,55,45,0.55,0.8943661971830986,0.7221830985915494,0.4782608695652174,0.39823924573718916,0.4622320848854609
211,635,75,62,38,0.62,0.8943661971830986,0.7571830985915493,0.5232067510548524,0.45137113098592707,0.39440905199749154
226,632,78,65,35,0.65,0.8901408450704226,0.7700704225352113,0.5349794238683128,0.46602075402956183,0.36683652206649336
241,632,78,64,36,0.64,0.8901408450704226,0.7650704225352113,0.5289256198347108,0.458657011502697,0.37638947105603376
256,629,81,67,33,0.67,0.8859154929577465,0.7779577464788733,0.5403225806451613,0.4732363538850153,0.34916367902041867
