k,tn,fp,tp,fn,sensitivity,specificity,bacc,f1_score,mcc,composite_score
1,531,179,46,54,0.46,0.747887323943662,0.603943661971831,0.28307692307692306,0.1526820530299587,0.5959536906742738
16,591,119,58,42,0.58,0.8323943661971831,0.7061971830985916,0.4187725631768953,0.3282867918306042,0.45220752811341386
31,602,108,57,43,0.57,0.847887323943662,0.708943661971831,0.43018867924528303,0.3413237768081747,0.45611212022595987
46,611,99,59,41,0.59,0.8605633802816901,0.725281690140845,0.4573643410852713,0.3740526400986357,0.43306185576481865
61,624,86,59,41,0.59,0.8788732394366198,0.7344366197183099,0.4816326530612245,0.402336836694992,0.42751806058291675
76,621,89,60,40,0.6,0.8746478873239436,0.7373239436619718,0.4819277108433735,0.4030016855371649,0.4191815264922236
91,625,85,64,36,0.64,0.8802816901408451,0.7601408450704226,0.5140562248995983,0.4417472481822811,0.3793843350950756
106,630,80,64,36,0.64,0.8873239436619719,0.7636619718309859,0.5245901639344263,0.45372039873516534,0.377221279452645
121,630,80,64,36,0.64,0.8873239436619719,0.7636619718309859,0.5245901639344263,0.45372039873516534,0.377221279452645
136,635,75,64,36,0.64,0.8943661971830986,0.7671830985915493,0.5355648535564853,0.46622922364032443,0.3751779581712657
151,643,67,65,35,0.65,0.9056338028169014,0.7778169014084507,0.5603448275862069,0.4948983668441801,0.36249824712789913
166,639,71,63,37,0.63,0.9,0.765,0.5384615384615384,0.46922300533751216,0.383275357934736
181,648,62,62,38,0.62,0.9126760563380282,0.7663380281690141,0.5535714285714286,0.48665305015894705,0.38990443846752915
196,648,62,63,37,0.63,0.9126760563380282,0.7713380281690141,0.56,0.4941622234387388,0.3801650577534437
211,647,63,64,36,0.64,0.9112676056338028,0.7756338028169014,0.5638766519823789,0.49874601036593713,0.37077410617511886
226,648,62,66,34,0.66,0.9126760563380282,0.7863380281690141,0.5789473684210527,0.5164651574197737,0.3510348574382311
241,646,64,62,38,0.62,0.9098591549295775,0.7649295774647887,0.5486725663716814,0.4809238259414363,0.39054496789743676
256,638,72,68,32,0.68,0.8985915492957747,0.7892957746478874,0.5666666666666667,0.5033845029761759,0.3356838898044278
