k,tn,fp,tp,fn,sensitivity,specificity,bacc,f1_score,mcc,composite_score
1,479,231,58,42,0.58,0.6746478873239437,0.6273239436619718,0.2982005141388175,0.17486442685217646,0.531275820288081
16,584,126,51,49,0.51,0.8225352112676056,0.6662676056338028,0.36823104693140796,0.2647148618552106,0.5211465736621832
31,603,107,55,45,0.55,0.8492957746478873,0.6996478873239437,0.4198473282442748,0.3283816484553507,0.474564814897797
46,613,97,55,45,0.55,0.8633802816901408,0.7066901408450704,0.4365079365079365,0.3482925543899918,0.47028177450446157
61,609,101,61,39,0.61,0.8577464788732394,0.7338732394366196,0.46564885496183206,0.3846756453334108,0.4151337908108201
76,614,96,60,40,0.6,0.8647887323943662,0.732394366197183,0.46875,0.38773373810950856,0.4222346348744053
91,620,90,64,36,0.64,0.8732394366197183,0.7566197183098591,0.5039370078740157,0.43026588580038894,0.38166508934992527
106,627,83,62,38,0.62,0.8830985915492958,0.7515492957746479,0.5061224489795918,0.43170537118489377,0.3975750737882826
121,622,88,66,34,0.66,0.8760563380281691,0.7680281690140845,0.5196850393700787,0.4493940618431066,0.3618867659130235
136,628,82,63,37,0.63,0.8845070422535212,0.7572535211267606,0.5142857142857142,0.4414948826815277,0.3876062735418893
151,624,86,66,34,0.66,0.8788732394366198,0.7694366197183099,0.5238095238095238,0.4540263417703947,0.3609317000826866
166,632,78,59,41,0.59,0.8901408450704226,0.7400704225352113,0.4978902953586498,0.42133740020017124,0.42446323035316136
181,639,71,65,35,0.65,0.9,0.775,0.5508474576271186,0.4840524932259821,0.36400549446402586
196,634,76,63,37,0.63,0.8929577464788733,0.7614788732394366,0.5271966527196653,0.45627546319887313,0.385172745711429
211,637,73,64,36,0.64,0.8971830985915493,0.7685915492957747,0.540084388185654,0.47139361817643094,0.374394598271977
226,635,75,68,32,0.68,0.8943661971830986,0.7871830985915493,0.5596707818930041,0.4955495788611612,0.3369844214463926
241,635,75,64,36,0.64,0.8943661971830986,0.7671830985915493,0.5355648535564853,0.46622922364032443,0.3751779581712657
256,632,78,64,36,0.64,0.8901408450704226,0.7650704225352113,0.5289256198347108,0.458657011502697,0.37638947105603376
